"",BBEX3.M.GNF.EUR.CA.AA.A01,BBEX3.M.GNF.EUR.CA.AA.A01_FLAGS
"",Exchange rates for the euro in Guinea / EUR 1 = GNF ... (buying),
unit,GNF (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:17:35,
1999-01,1486.6763,
1999-02,1431.2429,
1999-03,1398.3267,
1999-04,1388.5236,
1999-05,1385.0098,
1999-06,1380.8121,
1999-07,1438.0256,
1999-08,1425.0435,
1999-09,1498.3475,
1999-10,1579.1500,
1999-11,1579.1534,
1999-12,1742.6927,
2000-01,1838.7026,
2000-02,1616.0594,
2000-03,1612.1123,
2000-04,1477.1760,
2000-05,1517.8894,
2000-06,1513.3164,
2000-07,1565.4844,
2000-08,1628.7352,
2000-09,1563.9301,
2000-10,1585.0348,
2000-11,1618.8732,
2000-12,1618.8732,
2001-01,1756.9958,
2001-02,1759.6166,
2001-03,1759.6166,
2001-04,1743.4779,
2001-05,1661.2411,
2001-06,1657.1767,
2001-07,1657.1767,
2001-08,1708.4401,
2001-09,1760.3299,
2001-10,1796.4160,
2001-11,1737.5812,
2001-12,1737.5812,
2002-01,1755.2152,
2002-02,1699.6378,
2002-03,1699.6378,
2002-04,1720.2947,
2002-05,1793.1774,
2002-06,1843.2375,
2002-07,1960.6831,
2002-08,1922.8659,
2002-09,1955.6991,
2002-10,1929.5472,
2002-11,1957.2636,
2002-12,1957.2636,
2003-01,1975.0750,
2003-02,1980.0500,
2003-03,2147.8900,
2003-04,2145.6300,
2003-05,2265.4200,
2003-06,2304.8200,
2003-07,2236.9800,
2003-08,2234.2000,
2003-09,2210.3209,
2003-10,2318.7421,
2003-11,2282.1269,
2003-12,2486.6939,
2004-01,2486.6939,
2004-02,2486.6939,
2004-03,2484.3083,
2004-04,2432.5764,
2004-05,2413.0878,
2004-06,2418.8432,
2004-07,3026.7946,comment
2004-08,3200.7566,
2004-09,3131.1884,
2004-10,3244.1164,
2004-11,3320.9989,
2004-12,3452.7016,
2005-01,3434.3830,
2005-02,3741.2103,
2005-03,4157.0991,
2005-04,4458.6297,
2005-05,4560.4515,
2005-06,4605.6156,
2005-07,4559.7002,
2005-08,4836.3898,
2005-09,4950.0323,
2005-10,5122.2477,
2005-11,5141.9602,
2005-12,5268.5250,
2006-01,5388.5050,
2006-02,5330.1768,
2006-03,5522.4864,
2006-04,5773.2090,
2006-05,6042.6600,
2006-06,6270.9300,
2006-07,6710.2400,
2006-08,7022.1400,
2006-09,6982.0500,
2006-10,7236.7200,
2006-11,7779.1500,
2006-12,7707.3749,
2007-01,8149.6800,
2007-02,7794.4900,
2007-03,7593.5400,
2007-04,5236.0000,
2007-05,4501.7300,
2007-06,4647.4950,
2007-07,5208.2800,
2007-08,5390.5992,
2007-09,5685.1914,
2007-10,5894.9318,
2007-11,6167.9938,
2007-12,6049.0278,
2008-01,6218.0730,
2008-02,6417.0750,
2008-03,6783.2500,
2008-04,6823.6875,
2008-05,6772.0800,
2008-06,6959.0400,
2008-07,6965.1820,
2008-08,6637.2750,
2008-09,6961.6900,
2008-10,6120.9950,
2008-11,6336.1899,
2008-12,6984.4600,
2009-01,6061.1200,
2009-02,5951.6100,
2009-03,6368.6400,
2009-04,6507.1500,
2009-05,6792.9100,
2009-06,6590.8149,
2009-07,6766.0800,
2009-08,6968.6400,
2009-09,7043.5200,
2009-10,7129.4400,
2009-11,7375.9700,
2009-12,7359.5000,comment
2010-01,7398.2700,
2010-02,7274.8800,
2010-03,7809.4680,
2010-04,7980.0000,
2010-05,7571.8800,
2010-06,7208.0300,
2010-07,8229.0600,comment
2010-08,8392.6825,
2010-09,9154.7425,
2010-10,9413.2400,
2010-11,8985.8300,
2010-12,9348.5000,
2011-01,9942.6000,
2011-02,10321.9500,
2011-03,9160.2608,
2011-04,9554.3613,
2011-05,9107.9047,
2011-06,9414.7749,
2011-07,9343.8532,
2011-08,9541.4409,
2011-09,8931.9577,
2011-10,9350.6653,
2011-11,8957.9871,
2011-12,8789.7412,
2012-01,8805.7809,
2012-02,9032.3526,
2012-03,8945.9039,
2012-04,8886.2775,
2012-05,8217.5001,
2012-06,8307.0741,
2012-07,8121.1451,
2012-08,8329.9638,
2012-09,8631.3120,
2012-10,8631.4074,
2012-11,8664.5631,
2012-12,8773.9639,
2013-01,9040.8908,
2013-02,8685.0805,
2013-03,8562.4464,
2013-04,8565.1665,
2013-05,8499.0147,
2013-06,8522.2041,
2013-07,8692.2069,
2013-08,8680.2537,
2013-09,8832.0507,
2013-10,8999.3010,
2013-11,9025.5992,
2013-12,9170.0780,
2014-01,9024.1619,comment
2014-02,9159.4960,
2014-03,9191.6406,
2014-04,9232.4475,
2014-05,9086.9923,
2014-06,9061.2477,
2014-07,8909.3316,comment
2014-08,8804.3739,
2014-09,8530.7162,
2014-10,8493.7100,
2014-11,8448.7941,
2014-12,8340.0638,
2015-01,7844.0232,
"","Source: Since 2006: Banque Internationale pour le Commerce et L`Industrie de la Guinee, Conakry. 1999 - 2005: Banque Centrale de la Republique de Guinee, Conakry.",
"","Comment on 2004-07: On 2 July 2004, the Guinean franc was devalued. We recorded the following exchange rates (buying/selling rate).  1 July 2004: EUR 1 = GNF 2,415.5943 / 2,443.1532  14 July 2004: EUR 1 = GNF 3,077.5563 / 3,108.4865.  Calculated devaluation: 21.5% (middle rate).",
"",Comment on 2009-12: Exchange rate as of 24 December 2009.,
"",Comment on 2010-07: Exchange rate as of 2 August 2010.,
"",Comment on 2014-01: Exchange rate as of 6 February 2014.,
"",Comment on 2014-07: Exchange rate as of 7 August 2014.,
