"",BBK01.OEAB20I,BBK01.OEAB20I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:26:46,
2002-01,18.720,
2002-04,18.713,
2002-07,18.229,
2002-10,18.168,
2003-01,18.248,
2003-04,18.434,
2003-07,18.496,
2003-10,18.302,
2004-01,18.359,
2004-04,18.480,
2004-07,19.468,
2004-10,19.474,
2005-01,20.757,
2005-04,20.929,
2005-07,21.473,
2005-10,22.192,
2006-01,22.450,
2006-04,22.642,
2006-07,23.439,
2006-10,23.491,
2007-01,24.732,
2007-04,25.132,
2007-07,25.685,
2007-10,25.726,
2008-01,26.981,
2008-04,28.717,
2008-07,29.685,
2008-10,31.558,
2009-01,31.895,
2009-04,33.671,
2009-07,33.597,
2009-10,33.823,
2010-01,33.507,
2010-04,33.375,
2010-07,32.572,
2010-10,32.013,
2011-01,31.748,
2011-04,31.354,
2011-07,31.092,
2011-10,30.379,
2012-01,30.084,
2012-04,29.969,
2012-07,29.513,
2012-10,29.170,
2013-01,28.751,
2013-04,28.529,
2013-07,28.248,
2013-10,28.052,
2014-01,27.654,
2014-04,27.719,
2014-07,27.749,
