"",BBK01.OEAB21T,BBK01.OEAB21T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:39:46,
2002-01,3.870,
2002-04,3.888,
2002-07,3.904,
2002-10,3.989,
2003-01,4.148,
2003-04,4.183,
2003-07,4.298,
2003-10,4.139,
2004-01,4.391,
2004-04,4.457,
2004-07,4.605,
2004-10,4.563,
2005-01,4.615,
2005-04,4.696,
2005-07,4.789,
2005-10,4.807,
2006-01,4.867,
2006-04,4.911,
2006-07,4.963,
2006-10,4.864,
2007-01,4.957,
2007-04,4.888,
2007-07,4.854,
2007-10,4.891,
2008-01,4.894,
2008-04,4.814,
2008-07,4.943,
2008-10,5.082,
2009-01,4.651,
2009-04,4.569,
2009-07,4.493,
2009-10,4.372,
2010-01,4.286,
2010-04,4.124,
2010-07,4.340,
2010-10,4.287,
2011-01,4.375,
2011-04,4.383,
2011-07,4.426,
2011-10,4.347,
2012-01,4.487,
2012-04,4.439,
2012-07,4.428,
2012-10,4.390,
2013-01,4.736,
2013-04,4.086,
2013-07,4.193,
2013-10,4.074,
2014-01,4.598,
2014-04,4.666,
2014-07,4.698,
