"",BBEX3.A.TZS.USD.CA.AC.A04,BBEX3.A.TZS.USD.CA.AC.A04_FLAGS
"",Exchange rates for the US dollar in the United Republic of Tanzania / USD 1 = TZS ... (middle),
unit,TZS (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-19 15:17:08,
1984,15.51397,comment
1985,17.33869,
1986,34.29465,comment
1987,65.64738,
1988,100.47763,comment
1989,145.32633,comment
1990,195.22723,
1991,220.97718,
1992,303.98368,
1993,411.56045,
1994,512.11965,
1995,576.88785,
1996,580.51538,
1997,613.48650,
1998,667.54990,
1999,749.88500,
2000,800.65750,
2001,881.01500,
2002,965.71750,
2003,1042.57417,
2004,1089.68667,
2005,1132.22667,
2006,1254.13083,
2007,1239.13917,
2008,1206.32333,
2009,1307.20178,
2010,1401.78968,
2011,1561.81410,
2012,1571.55405,
2013,1597.33473,
2014,1659.12066,
"","Source: Bank of Tanzania, Dar es Salaam",
"",Methodology: Calculated on the basis of month-end buying and selling rates.,
"","Comment on 1984: On 15 June 1984, the exchange rates were adjusted more sharply. We recorded the following exchange rates (buying/selling rate): 14 June 1984: USD 1 = TZS 12.5831 / 12.6629 16 June 1984: USD 1 = TZS 17.0197 / 17.1269 Calculated devaluation: 26.1%.",
"","Comment on 1986: From April to June 1986, the Tanzania shilling, which is pegged to a currency basket, was devalued in several stages.",
"","Comment on 1988: On 5 November 1988, the exchange rates were adjusted more sharply. We recorded the following exchange rates (buying/selling rate): 4 November 1988: USD 1 = TZS 98.6715 / 99.6637 7 November 1988: USD 1 = TZS 119.3997 / 120.6003 Calculated devaluation: 17.4%.",
"","Comment on 1989: On 3 December 1989, the exchange rates were adjusted more sharply. We recorded the following exchange rates (buying/selling rate): 2 December 1989: USD 1 = TZS 156.6547 / 158.2297 3 December 1989: USD 1 = TZS 189.0497 / 190.9503 Calculated devaluation: 17.1%.",
