"",BBDE1.M.DE.Y.AEM1.A2P350000.F.C.I10.A,BBDE1.M.DE.Y.AEM1.A2P350000.F.C.I10.A_FLAGS
"","Orders received excluding large orders, total / At constant prices / Germany / Consumer goods (Durable- and Non-durable gooods) / Calendar and seasonally adjusted",
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-05 08:19:55,
2010-01,99.6,
2010-02,94.8,
2010-03,99.3,
2010-04,98.1,
2010-05,100.5,
2010-06,101.6,
2010-07,99.4,
2010-08,99.6,
2010-09,99.5,
2010-10,100.8,
2010-11,101.1,
2010-12,100.8,
2011-01,101.7,
2011-02,103.4,
2011-03,101.7,
2011-04,104.3,
2011-05,103.0,
2011-06,101.1,
2011-07,106.2,
2011-08,101.7,
2011-09,102.9,
2011-10,101.7,
2011-11,101.6,
2011-12,101.5,
2012-01,100.4,
2012-02,99.0,
2012-03,103.9,
2012-04,99.1,
2012-05,103.4,
2012-06,103.0,
2012-07,102.1,
2012-08,103.4,
2012-09,102.1,
2012-10,102.4,
2012-11,100.8,
2012-12,102.9,
2013-01,99.2,
2013-02,100.2,
2013-03,99.7,
2013-04,105.2,
2013-05,103.0,
2013-06,102.4,
2013-07,103.3,
2013-08,102.2,
2013-09,107.2,
2013-10,105.5,
2013-11,108.9,
2013-12,105.2,
2014-01,109.2,
2014-02,108.4,
2014-03,102.7,
2014-04,109.4,
2014-05,107.5,
2014-06,107.6,
2014-07,104.1,
2014-08,108.3,
2014-09,106.9,
2014-10,106.7,
2014-11,108.7,
2014-12,107.8,Provisional value
