"",BBK01.OEBB23O,BBK01.OEBB23O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:33:57,
2002-01,-0.383,
2002-04,-0.382,
2002-07,-0.227,
2002-10,-0.167,
2003-01,-0.116,
2003-04,-0.107,
2003-07,-0.057,
2003-10,-0.026,
2004-01,-0.325,
2004-04,-0.325,
2004-07,-0.316,
2004-10,-0.303,
2005-01,0.009,
2005-04,0.009,
2005-07,0.004,
2005-10,0.011,
2006-01,0.010,
2006-04,0.010,
2006-07,0.010,
2006-10,0.010,
2007-01,0.030,
2007-04,0.046,
2007-07,0.051,
2007-10,0.061,
2008-01,0.111,
2008-04,0.101,
2008-07,0.096,
2008-10,0.088,
2009-01,0.153,
2009-04,0.154,
2009-07,0.196,
2009-10,0.191,
2010-01,0.190,
2010-04,0.190,
2010-07,0.190,
2010-10,0.189,
2011-01,0.125,
2011-04,0.115,
2011-07,0.112,
2011-10,0.112,
2012-01,0.087,
2012-04,0.050,
2012-07,0.050,
2012-10,0.040,
2013-01,0.013,
2013-04,0.014,
2013-07,0.013,
2013-10,0.053,
2014-01,0.044,
2014-04,0.018,
2014-07,0.002,
