"",BBK01.OEAD20I,BBK01.OEAD20I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:58:07,
2002-01,0.120,
2002-04,0.105,
2002-07,0.119,
2002-10,0.110,
2003-01,0.108,
2003-04,0.130,
2003-07,0.148,
2003-10,0.133,
2004-01,0.124,
2004-04,0.118,
2004-07,0.100,
2004-10,0.088,
2005-01,0.113,
2005-04,0.110,
2005-07,0.109,
2005-10,0.122,
2006-01,0.115,
2006-04,0.099,
2006-07,0.134,
2006-10,0.116,
2007-01,0.133,
2007-04,0.108,
2007-07,0.111,
2007-10,0.113,
2008-01,0.125,
2008-04,0.105,
2008-07,0.130,
2008-10,0.076,
2009-01,0.134,
2009-04,0.119,
2009-07,0.095,
2009-10,0.086,
2010-01,0.097,
2010-04,0.107,
2010-07,0.101,
2010-10,0.077,
2011-01,0.102,
2011-04,0.081,
2011-07,0.070,
2011-10,0.060,
2012-01,0.070,
2012-04,0.070,
2012-07,0.070,
2012-10,0.067,
2013-01,0.056,
2013-04,0.057,
2013-07,0.087,
2013-10,0.092,
2014-01,0.093,
2014-04,0.096,
2014-07,0.095,
