"",BBFN1.M.DE.N.1.L.BY.S1P.H0.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.BY.S1P.H0.T.N000.Z01.BGA.X001.D_FLAGS
"",,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:17:41,
1994-07,0.024,
1994-08,0.029,
1994-09,0.030,
1994-10,0.045,
1994-11,0.038,
1994-12,0.043,
1995-01,0.046,
1995-02,0.037,
1995-03,0.046,
1995-04,0.049,
1995-05,0.046,
1995-06,0.055,
1995-07,0.054,
1995-08,0.052,
1995-09,0.041,
1995-10,0.033,
1995-11,0.044,
1995-12,0.042,
1996-01,0.047,
1996-02,0.053,
1996-03,0.050,
1996-04,0.056,
1996-05,0.055,
1996-06,0.060,
1996-07,0.063,
1996-08,0.062,
1996-09,0.062,
1996-10,0.066,
1996-11,0.072,
1996-12,0.065,
1997-01,0.076,
1997-02,0.079,
1997-03,0.083,
1997-04,0.087,
1997-05,0.088,
1997-06,0.084,
1997-07,0.084,
1997-08,0.071,
1997-09,0.063,
1997-10,0.065,
1997-11,0.071,
1997-12,0.050,
1998-01,0.050,
1998-02,0.049,
1998-03,0.052,
1998-04,0.052,
1998-05,0.055,
1998-06,0.053,
1998-07,0.050,
1998-08,0.044,
1998-09,0.042,
1998-10,0.043,
1998-11,0.042,
1998-12,0.049,
1999-01,0.043,
1999-02,0.041,
1999-03,0.045,
1999-04,0.040,
1999-05,0.046,
1999-06,0.046,
1999-07,0.051,
1999-08,0.050,
1999-09,0.050,
1999-10,0.049,
1999-11,0.049,
1999-12,0.052,
2000-01,0.052,
2000-02,0.048,
2000-03,0.047,
2000-04,0.048,
2000-05,0.045,
2000-06,0.051,
2000-07,0.053,
2000-08,0.054,
2000-09,0.056,
2000-10,0.059,
2000-11,0.062,
2000-12,0.072,
2001-01,0.060,
2001-02,0.054,
2001-03,0.055,
2001-04,0.054,
2001-05,0.045,
2001-06,0.049,
2001-07,0.045,
2001-08,0.046,
2001-09,0.048,
2001-10,0.049,
2001-11,0.047,
2001-12,0.047,
2002-01,0.052,
2002-02,0.049,
2002-03,0.047,
2002-04,0.049,
2002-05,0.047,
2002-06,0.051,
2002-07,0.045,
2002-08,0.048,
2002-09,0.032,
2002-10,0.030,
2002-11,0.031,
2002-12,0.032,
2003-01,0.029,
2003-02,0.034,
2003-03,0.033,
2003-04,0.038,
2003-05,0.044,
2003-06,0.037,
2003-07,0.039,
2003-08,0.043,
2003-09,0.034,
2003-10,0.034,
2003-11,0.030,
2003-12,0.029,
2004-01,0.029,
2004-02,0.027,
2004-03,0.028,
2004-04,0.027,
2004-05,0.029,
2004-06,0.030,
2004-07,0.038,
2004-08,0.040,
2004-09,0.039,
2004-10,0.044,
2004-11,0.042,
2004-12,0.043,
2005-01,0.043,
2005-02,0.044,
2005-03,0.044,
2005-04,0.044,
2005-05,0.044,
2005-06,0.048,
2005-07,0.053,
2005-08,0.055,
2005-09,0.059,
2005-10,0.060,
2005-11,0.055,
2005-12,0.052,
2006-01,0.049,
2006-02,0.058,
2006-03,0.047,
2006-04,0.055,
2006-05,0.052,
2006-06,0.053,
2006-07,0.055,
2006-08,0.067,
2006-09,0.062,
2006-10,0.061,
2006-11,0.058,
2006-12,0.058,
2007-01,0.050,
2007-02,0.053,
2007-03,0.050,
2007-04,0.054,
2007-05,0.052,
2007-06,0.050,
2007-07,0.052,
2007-08,0.054,
2007-09,0.061,
2007-10,0.063,
2007-11,0.071,
2007-12,0.070,
2008-01,0.073,
2008-02,0.071,
2008-03,0.080,
2008-04,0.078,
2008-05,0.087,
2008-06,0.083,
2008-07,0.082,
2008-08,0.084,
2008-09,0.075,
2008-10,0.095,
2008-11,0.087,
2008-12,0.087,
2009-01,0.083,
2009-02,0.065,
2009-03,0.066,
2009-04,0.063,
2009-05,0.070,
2009-06,0.068,
2009-07,0.074,
2009-08,0.075,
2009-09,0.069,
2009-10,0.070,
2009-11,0.070,
2009-12,0.077,
2010-01,0.078,
2010-02,0.069,
2010-03,0.074,
2010-04,0.088,
2010-05,0.096,
2010-06,0.098,
2010-07,0.100,
2010-08,0.107,
2010-09,0.096,
2010-10,0.109,
2010-11,0.119,
2010-12,0.128,
2011-01,0.121,
2011-02,0.107,
2011-03,0.108,
2011-04,0.106,
2011-05,0.102,
2011-06,0.103,
2011-07,0.111,
2011-08,0.110,
2011-09,0.073,
2011-10,0.079,
2011-11,0.078,
2011-12,0.083,
2012-01,0.092,
2012-02,0.091,
2012-03,0.102,
2012-04,0.104,
2012-05,0.111,
2012-06,0.108,
2012-07,0.111,
2012-08,0.116,
2012-09,0.118,
2012-10,0.130,
2012-11,0.146,
2012-12,0.164,
2013-01,0.166,
2013-02,0.165,
2013-03,0.123,
2013-04,0.088,
2013-05,0.092,
2013-06,0.100,
2013-07,0.105,
2013-08,0.115,
2013-09,0.121,
2013-10,0.134,
2013-11,0.121,
2013-12,0.112,
2014-01,0.114,
2014-02,0.110,
2014-03,0.111,
2014-04,0.102,
2014-05,0.100,
2014-06,0.104,
2014-07,0.105,
2014-08,0.113,
2014-09,0.119,
2014-10,0.118,
2014-11,0.122,
2014-12,0.075,
