"",BBK01.OEAE10H,BBK01.OEAE10H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:03:06,
2002-01,26.301,
2002-04,26.519,
2002-07,25.884,
2002-10,25.153,
2003-01,21.922,
2003-04,20.345,
2003-07,19.919,
2003-10,20.251,
2004-01,18.511,
2004-04,18.128,
2004-07,17.279,
2004-10,17.012,
2005-01,15.974,
2005-04,15.950,
2005-07,14.253,
2005-10,14.473,
2006-01,13.530,
2006-04,12.927,
2006-07,12.725,
2006-10,12.378,
2007-01,11.667,
2007-04,11.641,
2007-07,13.986,
2007-10,15.118,
2008-01,14.975,
2008-04,15.667,
2008-07,15.239,
2008-10,14.163,
2009-01,13.671,
2009-04,12.331,
2009-07,10.922,
2009-10,10.237,
2010-01,10.075,
2010-04,9.956,
2010-07,10.038,
2010-10,10.148,
2011-01,10.120,
2011-04,10.164,
2011-07,9.855,
2011-10,9.842,
2012-01,9.597,
2012-04,9.692,
2012-07,9.251,
2012-10,9.102,
2013-01,8.781,
2013-04,8.938,
2013-07,9.003,
2013-10,9.189,
2014-01,9.173,
2014-04,9.216,
2014-07,8.739,
