"",BBK01.OEAM07H,BBK01.OEAM07H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:38:49,
2002-01,0.583,
2002-04,0.529,
2002-07,0.506,
2002-10,0.507,
2003-01,0.461,
2003-04,0.446,
2003-07,0.542,
2003-10,0.558,
2004-01,0.668,
2004-04,0.745,
2004-07,0.871,
2004-10,1.091,
2005-01,0.971,
2005-04,1.078,
2005-07,1.388,
2005-10,0.859,
2006-01,0.782,
2006-04,0.828,
2006-07,0.862,
2006-10,0.713,
2007-01,0.769,
2007-04,0.581,
2007-07,0.465,
2007-10,0.379,
2008-01,0.335,
2008-04,0.295,
2008-07,0.263,
2008-10,0.269,
2009-01,0.330,
2009-04,0.401,
2009-07,0.554,
2009-10,0.673,
2010-01,0.730,
2010-04,0.820,
2010-07,0.874,
2010-10,0.884,
2011-01,0.888,
2011-04,0.808,
2011-07,0.724,
2011-10,0.692,
2012-01,0.657,
2012-04,0.660,
2012-07,0.766,
2012-10,0.781,
2013-01,0.836,
2013-04,0.877,
2013-07,0.924,
2013-10,0.943,
2014-01,0.954,
2014-04,0.937,
2014-07,0.907,
