"",BBK01.OEAA32T,BBK01.OEAA32T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:20:29,
2002-01,0.040,
2002-04,0.039,
2002-07,0.040,
2002-10,0.039,
2003-01,0.039,
2003-04,0.038,
2003-07,0.038,
2003-10,0.036,
2004-01,0.190,
2004-04,0.188,
2004-07,0.194,
2004-10,0.189,
2005-01,0.193,
2005-04,0.191,
2005-07,0.190,
2005-10,0.187,
2006-01,0.186,
2006-04,0.183,
2006-07,0.182,
2006-10,0.178,
2007-01,0.178,
2007-04,0.175,
2007-07,0.173,
2007-10,0.172,
2008-01,0.173,
2008-04,0.166,
2008-07,0.168,
2008-10,0.166,
2009-01,0.166,
2009-04,0.165,
2009-07,0.167,
2009-10,0.165,
2010-01,0.166,
2010-04,0.162,
2010-07,0.164,
2010-10,0.160,
2011-01,0.162,
2011-04,0.160,
2011-07,0.160,
2011-10,0.161,
2012-01,0.160,
2012-04,0.159,
2012-07,0.158,
2012-10,0.156,
2013-01,0.158,
2013-04,0.155,
2013-07,0.157,
2013-10,0.156,
2014-01,0.153,
2014-04,0.153,
2014-07,0.154,
