"",BBK01.OEAD10S,BBK01.OEAD10S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:00:51,
2002-01,0.215,
2002-04,0.225,
2002-07,0.225,
2002-10,0.224,
2003-01,0.234,
2003-04,0.229,
2003-07,0.222,
2003-10,0.220,
2004-01,0.219,
2004-04,0.213,
2004-07,0.214,
2004-10,0.208,
2005-01,0.196,
2005-04,0.188,
2005-07,0.195,
2005-10,0.183,
2006-01,0.190,
2006-04,0.194,
2006-07,0.185,
2006-10,0.176,
2007-01,0.189,
2007-04,0.177,
2007-07,0.180,
2007-10,0.199,
2008-01,0.184,
2008-04,0.170,
2008-07,0.172,
2008-10,0.173,
2009-01,0.160,
2009-04,0.155,
2009-07,0.160,
2009-10,0.139,
2010-01,0.162,
2010-04,0.146,
2010-07,0.153,
2010-10,0.155,
2011-01,0.147,
2011-04,0.149,
2011-07,0.150,
2011-10,0.145,
2012-01,0.140,
2012-04,0.136,
2012-07,0.138,
2012-10,0.132,
2013-01,0.137,
2013-04,0.129,
2013-07,0.133,
2013-10,0.138,
2014-01,0.144,
2014-04,0.143,
2014-07,0.142,
