"",BBK01.OEBM03N,BBK01.OEBM03N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:39:31,
2002-01,1.676,
2002-04,1.597,
2002-07,1.659,
2002-10,1.460,
2003-01,1.094,
2003-04,1.103,
2003-07,1.005,
2003-10,1.434,
2004-01,0.988,
2004-04,0.958,
2004-07,0.770,
2004-10,0.507,
2005-01,0.555,
2005-04,0.488,
2005-07,0.364,
2005-10,0.673,
2006-01,1.506,
2006-04,3.519,
2006-07,2.889,
2006-10,1.254,
2007-01,1.983,
2007-04,2.846,
2007-07,2.601,
2007-10,3.079,
2008-01,2.363,
2008-04,2.847,
2008-07,3.371,
2008-10,4.485,
2009-01,4.716,
2009-04,5.180,
2009-07,4.266,
2009-10,4.039,
2010-01,2.930,
2010-04,3.554,
2010-07,4.262,
2010-10,4.476,
2011-01,4.742,
2011-04,5.447,
2011-07,6.616,
2011-10,4.832,
2012-01,7.553,
2012-04,7.258,
2012-07,7.066,
2012-10,10.177,
2013-01,8.539,
2013-04,8.484,
2013-07,8.866,
2013-10,6.865,
2014-01,6.154,
2014-04,6.877,
2014-07,4.947,
