"",BBK01.OEAH40G,BBK01.OEAH40G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:23:21,
2002-01,0.480,
2002-04,0.477,
2002-07,0.500,
2002-10,0.484,
2003-01,0.479,
2003-04,0.536,
2003-07,0.524,
2003-10,0.501,
2004-01,0.534,
2004-04,0.523,
2004-07,0.519,
2004-10,0.472,
2005-01,0.525,
2005-04,0.528,
2005-07,0.638,
2005-10,0.646,
2006-01,0.639,
2006-04,0.606,
2006-07,0.538,
2006-10,0.500,
2007-01,0.494,
2007-04,0.456,
2007-07,0.437,
2007-10,0.421,
2008-01,0.415,
2008-04,0.414,
2008-07,0.428,
2008-10,0.440,
2009-01,0.494,
2009-04,0.573,
2009-07,0.632,
2009-10,0.673,
2010-01,0.724,
2010-04,0.773,
2010-07,0.809,
2010-10,0.833,
2011-01,0.884,
2011-04,0.890,
2011-07,0.960,
2011-10,0.891,
2012-01,0.902,
2012-04,0.964,
2012-07,1.015,
2012-10,0.970,
2013-01,0.997,
2013-04,1.059,
2013-07,1.064,
2013-10,1.056,
2014-01,1.032,
2014-04,1.086,
2014-07,1.138,
