"",BBK01.OELB21U,BBK01.OELB21U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:41:48,
2002-01,0.022,
2002-04,0.023,
2002-07,0.023,
2002-10,0.034,
2003-01,0.035,
2003-04,0.041,
2003-07,0.068,
2003-10,0.074,
2004-01,0.079,
2004-04,0.080,
2004-07,0.086,
2004-10,0.085,
2005-01,0.085,
2005-04,0.085,
2005-07,0.081,
2005-10,0.091,
2006-01,0.094,
2006-04,0.094,
2006-07,0.093,
2006-10,0.104,
2007-01,0.102,
2007-04,0.107,
2007-07,0.117,
2007-10,0.115,
2008-01,0.112,
2008-04,0.109,
2008-07,0.103,
2008-10,0.099,
2009-01,0.095,
2009-04,0.098,
2009-07,0.098,
2009-10,0.096,
2010-01,0.098,
2010-04,0.099,
2010-07,0.094,
2010-10,0.094,
2011-01,0.091,
2011-04,0.092,
2011-07,0.089,
2011-10,0.086,
2012-01,0.086,
2012-04,0.092,
2012-07,0.086,
2012-10,0.083,
2013-01,0.086,
2013-04,0.086,
2013-07,0.085,
2013-10,0.084,
2014-01,0.084,
2014-04,0.083,
2014-07,0.086,
