"",BBK01.OEYJ04J,BBK01.OEYJ04J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:05:49,
2002-01,0.439,
2002-04,0.486,
2002-07,0.269,
2002-10,0.251,
2003-01,0.245,
2003-04,0.203,
2003-07,0.275,
2003-10,0.283,
2004-01,0.305,
2004-04,0.325,
2004-07,0.395,
2004-10,0.401,
2005-01,0.488,
2005-04,0.492,
2005-07,0.504,
2005-10,0.632,
2006-01,0.464,
2006-04,0.488,
2006-07,0.556,
2006-10,0.445,
2007-01,0.530,
2007-04,0.587,
2007-07,0.728,
2007-10,0.654,
2008-01,0.677,
2008-04,0.743,
2008-07,0.852,
2008-10,0.871,
2009-01,0.937,
2009-04,0.808,
2009-07,0.688,
2009-10,0.652,
2010-01,0.686,
2010-04,0.598,
2010-07,0.582,
2010-10,0.597,
2011-01,0.506,
2011-04,0.504,
2011-07,0.667,
2011-10,0.617,
2012-01,0.738,
2012-04,0.542,
2012-07,0.494,
2012-10,0.416,
2013-01,0.421,
2013-04,0.335,
2013-07,0.350,
2013-10,0.332,
2014-01,0.306,
2014-04,0.292,
2014-07,0.332,
