"",BBK01.OEAG03H,BBK01.OEAG03H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:11:14,
2002-01,31.256,
2002-04,30.594,
2002-07,29.912,
2002-10,30.128,
2003-01,27.860,
2003-04,28.086,
2003-07,27.849,
2003-10,33.540,
2004-01,29.484,
2004-04,28.207,
2004-07,29.037,
2004-10,27.485,
2005-01,26.646,
2005-04,25.921,
2005-07,25.426,
2005-10,25.127,
2006-01,25.010,
2006-04,23.489,
2006-07,22.816,
2006-10,22.718,
2007-01,22.218,
2007-04,21.715,
2007-07,20.934,
2007-10,21.046,
2008-01,20.850,
2008-04,20.127,
2008-07,20.606,
2008-10,19.147,
2009-01,18.515,
2009-04,18.644,
2009-07,23.089,
2009-10,23.306,
2010-01,22.206,
2010-04,21.641,
2010-07,21.460,
2010-10,21.594,
2011-01,21.826,
2011-04,21.499,
2011-07,22.376,
2011-10,21.783,
2012-01,20.344,
2012-04,20.164,
2012-07,20.257,
2012-10,20.480,
2013-01,20.343,
2013-04,19.751,
2013-07,19.456,
2013-10,19.640,
2014-01,19.750,
2014-04,18.985,
2014-07,19.220,
