"",BBK01.OEYB23O,BBK01.OEYB23O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:34:47,
2002-01,1.214,
2002-04,1.161,
2002-07,1.148,
2002-10,1.188,
2003-01,1.153,
2003-04,1.013,
2003-07,1.033,
2003-10,1.047,
2004-01,0.765,
2004-04,0.697,
2004-07,0.638,
2004-10,0.551,
2005-01,0.705,
2005-04,0.723,
2005-07,0.755,
2005-10,0.606,
2006-01,0.610,
2006-04,0.534,
2006-07,0.465,
2006-10,0.481,
2007-01,0.447,
2007-04,0.540,
2007-07,0.710,
2007-10,0.714,
2008-01,0.596,
2008-04,0.555,
2008-07,0.402,
2008-10,0.386,
2009-01,0.358,
2009-04,0.335,
2009-07,0.267,
2009-10,0.422,
2010-01,0.590,
2010-04,0.834,
2010-07,1.317,
2010-10,1.756,
2011-01,1.993,
2011-04,2.443,
2011-07,2.630,
2011-10,2.559,
2012-01,2.647,
2012-04,2.696,
2012-07,2.586,
2012-10,2.660,
2013-01,2.458,
2013-04,2.357,
2013-07,2.276,
2013-10,2.122,
2014-01,1.999,
2014-04,1.831,
2014-07,1.934,
