"",BBFB1.M.Y.DE.W1.S1.S1.T.C.IN1._Z._Z._Z._T._X.N,BBFB1.M.Y.DE.W1.S1.S1.T.C.IN1._Z._Z._Z._T._X.N_FLAGS
"",Balance of payments / Primary income / Credit (Resources) / All countries / Calendar and seasonally adjusted,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 14:49:15,
1991-01,5.96,
1991-02,5.90,
1991-03,5.45,
1991-04,5.77,
1991-05,5.92,
1991-06,5.99,
1991-07,5.92,
1991-08,5.91,
1991-09,5.88,
1991-10,5.86,
1991-11,5.76,
1991-12,5.83,
1992-01,5.84,
1992-02,5.87,
1992-03,5.69,
1992-04,5.82,
1992-05,5.96,
1992-06,5.97,
1992-07,6.16,
1992-08,6.29,
1992-09,5.91,
1992-10,5.91,
1992-11,5.75,
1992-12,5.77,
1993-01,5.98,
1993-02,6.10,
1993-03,6.03,
1993-04,6.12,
1993-05,5.78,
1993-06,6.06,
1993-07,5.76,
1993-08,5.70,
1993-09,5.76,
1993-10,5.72,
1993-11,5.72,
1993-12,5.86,
1994-01,5.48,
1994-02,5.19,
1994-03,5.62,
1994-04,5.42,
1994-05,5.35,
1994-06,5.20,
1994-07,5.35,
1994-08,5.37,
1994-09,5.41,
1994-10,6.58,
1994-11,5.62,
1994-12,5.54,
1995-01,5.71,
1995-02,5.62,
1995-03,5.79,
1995-04,5.62,
1995-05,5.55,
1995-06,5.58,
1995-07,5.72,
1995-08,5.54,
1995-09,5.68,
1995-10,5.60,
1995-11,5.28,
1995-12,5.89,
1996-01,5.80,
1996-02,5.88,
1996-03,5.95,
1996-04,5.85,
1996-05,5.60,
1996-06,5.49,
1996-07,6.09,
1996-08,5.91,
1996-09,6.02,
1996-10,6.06,
1996-11,6.32,
1996-12,6.47,
1997-01,6.25,
1997-02,6.76,
1997-03,6.29,
1997-04,6.41,
1997-05,6.41,
1997-06,6.53,
1997-07,6.44,
1997-08,6.58,
1997-09,6.60,
1997-10,6.92,
1997-11,6.76,
1997-12,7.49,
1998-01,6.83,
1998-02,6.11,
1998-03,6.67,
1998-04,6.56,
1998-05,6.49,
1998-06,7.15,
1998-07,6.99,
1998-08,6.68,
1998-09,6.92,
1998-10,5.92,
1998-11,6.73,
1998-12,8.16,
1999-01,6.35,
1999-02,6.83,
1999-03,6.98,
1999-04,8.44,
1999-05,7.47,
1999-06,7.60,
1999-07,7.46,
1999-08,7.34,
1999-09,7.57,
1999-10,7.91,
1999-11,8.15,
1999-12,8.95,
2000-01,8.53,
2000-02,8.40,
2000-03,10.50,
2000-04,9.33,
2000-05,10.14,
2000-06,9.60,
2000-07,9.93,
2000-08,9.44,
2000-09,9.90,
2000-10,10.42,
2000-11,9.62,
2000-12,13.31,
2001-01,9.30,
2001-02,9.21,
2001-03,9.19,
2001-04,9.05,
2001-05,9.07,
2001-06,8.90,
2001-07,8.34,
2001-08,8.62,
2001-09,8.58,
2001-10,8.57,
2001-11,8.42,
2001-12,8.59,
2002-01,8.88,
2002-02,9.13,
2002-03,8.94,
2002-04,8.64,
2002-05,9.05,
2002-06,9.03,
2002-07,8.91,
2002-08,9.08,
2002-09,9.36,
2002-10,8.71,
2002-11,9.33,
2002-12,8.77,
2003-01,9.01,
2003-02,8.94,
2003-03,9.16,
2003-04,9.11,
2003-05,9.03,
2003-06,9.07,
2003-07,9.35,
2003-08,9.45,
2003-09,9.41,
2003-10,9.23,
2003-11,9.52,
2003-12,10.30,
2004-01,11.15,
2004-02,11.62,
2004-03,10.89,
2004-04,11.36,
2004-05,11.21,
2004-06,11.98,
2004-07,11.67,
2004-08,12.14,
2004-09,12.63,
2004-10,12.08,
2004-11,13.00,
2004-12,12.76,
2005-01,13.04,
2005-02,12.99,
2005-03,13.27,
2005-04,13.84,
2005-05,13.34,
2005-06,13.67,
2005-07,13.91,
2005-08,14.35,
2005-09,14.83,
2005-10,14.75,
2005-11,15.15,
2005-12,14.60,
2006-01,15.78,
2006-02,15.91,
2006-03,16.14,
2006-04,16.63,
2006-05,17.09,
2006-06,17.64,
2006-07,17.62,
2006-08,18.02,
2006-09,18.14,
2006-10,18.44,
2006-11,18.71,
2006-12,18.80,
2007-01,20.63,
2007-02,21.23,
2007-03,21.19,
2007-04,21.32,
2007-05,21.85,
2007-06,20.65,
2007-07,20.93,
2007-08,20.76,
2007-09,20.17,
2007-10,20.52,
2007-11,20.21,
2007-12,18.83,
2008-01,18.39,
2008-02,18.21,
2008-03,17.57,
2008-04,17.19,
2008-05,17.47,
2008-06,16.05,
2008-07,16.04,
2008-08,15.79,
2008-09,15.82,
2008-10,15.17,
2008-11,15.38,
2008-12,15.43,
2009-01,15.95,
2009-02,15.43,
2009-03,15.19,
2009-04,15.38,
2009-05,15.13,
2009-06,15.06,
2009-07,15.44,
2009-08,15.52,
2009-09,15.08,
2009-10,15.47,
2009-11,15.36,
2009-12,15.97,
2010-01,15.77,
2010-02,15.94,
2010-03,16.14,
2010-04,16.21,
2010-05,16.41,
2010-06,17.16,
2010-07,16.80,
2010-08,16.89,
2010-09,17.01,
2010-10,17.15,
2010-11,17.51,
2010-12,18.37,
2011-01,17.54,
2011-02,17.92,
2011-03,17.91,
2011-04,17.68,
2011-05,18.59,
2011-06,18.56,
2011-07,18.44,
2011-08,18.59,
2011-09,18.64,
2011-10,18.77,
2011-11,18.37,
2011-12,17.78,
2012-01,18.29,
2012-02,18.00,
2012-03,18.04,
2012-04,17.83,
2012-05,17.81,
2012-06,17.76,
2012-07,18.06,
2012-08,17.95,
2012-09,18.15,
2012-10,18.39,
2012-11,18.05,
2012-12,17.63,
2013-01,17.89,
2013-02,17.60,
2013-03,17.47,
2013-04,17.37,
2013-05,17.34,
2013-06,17.09,
2013-07,17.25,
2013-08,17.02,
2013-09,17.17,
2013-10,17.16,
2013-11,17.28,
2013-12,17.51,
2014-01,16.68,
2014-02,16.73,Provisional value
2014-03,16.99,Provisional value
2014-04,17.30,Provisional value
2014-05,17.26,Provisional value
2014-06,16.98,Provisional value
2014-07,16.72,Provisional value
2014-08,16.74,Provisional value
2014-09,17.51,
2014-10,17.06,
2014-11,16.81,
2014-12,16.25,Provisional value
