"",BBK01.OEAH73J,BBK01.OEAH73J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:25:20,
2002-01,0.388,
2002-04,0.342,
2002-07,0.355,
2002-10,0.338,
2003-01,0.397,
2003-04,0.519,
2003-07,0.358,
2003-10,0.341,
2004-01,0.456,
2004-04,0.606,
2004-07,0.777,
2004-10,0.471,
2005-01,0.771,
2005-04,0.914,
2005-07,0.965,
2005-10,1.184,
2006-01,0.894,
2006-04,1.141,
2006-07,1.100,
2006-10,0.944,
2007-01,0.763,
2007-04,0.852,
2007-07,0.978,
2007-10,0.764,
2008-01,0.615,
2008-04,1.161,
2008-07,1.065,
2008-10,0.767,
2009-01,0.610,
2009-04,0.605,
2009-07,0.708,
2009-10,0.772,
2010-01,0.996,
2010-04,1.340,
2010-07,1.219,
2010-10,1.075,
2011-01,0.996,
2011-04,1.180,
2011-07,0.913,
2011-10,1.232,
2012-01,1.468,
2012-04,1.413,
2012-07,1.175,
2012-10,1.364,
2013-01,1.537,
2013-04,1.341,
2013-07,1.233,
2013-10,1.296,
2014-01,1.606,
2014-04,1.532,
2014-07,1.513,
