"",BBEX3.M.AMD.USD.CA.AC.A01,BBEX3.M.AMD.USD.CA.AC.A01_FLAGS
"",Exchange rates for the US dollar in Armenia / USD 1 = AMD ... (middle),
unit,AMD (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:15:35,
1993-11,14.50,
1993-12,75.00,
1994-01,98.00,
1994-02,162.00,
1994-03,228.42,
1994-04,295.11,
1994-05,326.06,
1994-06,308.66,
1994-07,310.75,
1994-08,323.86,
1994-09,348.98,
1994-10,380.57,
1994-11,421.32,
1994-12,405.51,
1995-01,406.40,
1995-02,402.99,
1995-03,406.91,
1995-04,407.81,
1995-05,409.28,
1995-06,408.20,
1995-07,409.08,
1995-08,407.90,
1995-09,400.00,
1995-10,400.79,
1995-11,403.27,
1995-12,402.00,
1996-01,402.10,
1996-02,402.88,
1996-03,404.23,
1996-04,405.75,
1996-05,407.00,
1996-06,409.82,
1996-07,417.30,
1996-08,418.80,
1996-09,412.32,
1996-10,421.02,
1996-11,434.10,
1996-12,435.07,
1997-01,462.32,
1997-02,469.02,
1997-03,477.52,
1997-04,486.34,
1997-05,504.83,
1997-06,509.75,
1997-07,502.65,
1997-08,501.10,
1997-09,501.10,
1997-10,499.87,
1997-11,500.02,
1997-12,495.57,
1998-01,498.02,
1998-02,500.67,
1998-03,502.38,
1998-04,503.05,
1998-05,503.11,
1998-06,501.93,
1998-07,501.73,
1998-08,502.33,
1998-09,507.90,
1998-10,509.38,
1998-11,517.12,
1998-12,522.03,
1999-01,546.94,
1999-02,540.15,
1999-03,535.27,
1999-04,536.26,
1999-05,543.17,
1999-06,543.84,
1999-07,542.84,
1999-08,538.55,
1999-09,528.91,
1999-10,519.20,
1999-11,530.24,
1999-12,523.77,
2000-01,529.02,
2000-02,527.84,
2000-03,527.61,
2000-04,530.72,
2000-05,536.55,
2000-06,547.89,
2000-07,545.75,
2000-08,540.17,
2000-09,537.18,
2000-10,551.43,
2000-11,553.97,
2000-12,550.52,
2001-01,554.30,
2001-02,548.35,
2001-03,544.65,
2001-04,548.60,
2001-05,556.25,
2001-06,554.10,
2001-07,553.85,
2001-08,555.00,
