"",BBK01.OEAA50I,BBK01.OEAA50I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:16:26,
2002-01,0.870,
2002-04,0.705,
2002-07,0.758,
2002-10,0.847,
2003-01,0.732,
2003-04,0.649,
2003-07,0.792,
2003-10,0.663,
2004-01,0.605,
2004-04,0.686,
2004-07,0.700,
2004-10,0.485,
2005-01,0.598,
2005-04,0.582,
2005-07,0.995,
2005-10,0.439,
2006-01,0.448,
2006-04,0.518,
2006-07,0.547,
2006-10,0.339,
2007-01,0.538,
2007-04,0.533,
2007-07,0.672,
2007-10,1.043,
2008-01,0.887,
2008-04,0.946,
2008-07,0.816,
2008-10,0.864,
2009-01,0.930,
2009-04,0.602,
2009-07,0.576,
2009-10,0.672,
2010-01,0.607,
2010-04,0.677,
2010-07,0.588,
2010-10,0.621,
2011-01,0.472,
2011-04,0.752,
2011-07,1.283,
2011-10,1.119,
2012-01,1.513,
2012-04,1.343,
2012-07,1.256,
2012-10,1.290,
2013-01,1.175,
2013-04,1.155,
2013-07,1.166,
2013-10,1.282,
2014-01,1.358,
2014-04,0.883,
2014-07,0.730,
