"",BBEX3.M.NGN.USD.CA.AB.A01,BBEX3.M.NGN.USD.CA.AB.A01_FLAGS
"",Exchange rates for the US dollar in Nigeria * / USD 1 = NGN ... (selling),
unit,NGN (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:19:42,
1995-02,82.0000,comment
1995-03,82.0000,
1995-04,80.0000,
1995-05,80.0000,
1995-06,80.0000,
1995-07,80.0000,
1995-08,80.0000,
1995-09,82.0000,
1995-10,82.0000,
1995-11,85.0000,
1995-12,85.0000,
1996-01,85.0000,
1996-02,82.5000,
1996-03,82.5000,
1996-04,82.5000,
1996-05,82.5000,
1996-06,81.0000,
1996-07,81.0000,
1996-08,80.0000,
1996-09,80.0000,
1996-10,80.0000,
1996-11,80.0000,
1996-12,80.0000,
1997-01,80.0000,
1997-02,80.0000,
1997-03,85.0000,
1997-04,85.0000,
1997-05,85.0000,
1997-06,85.0000,
1997-07,83.0000,
1997-08,82.0000,
1997-09,82.0000,
1997-10,82.0000,
1997-11,79.0000,
1997-12,75.0000,
1998-01,81.0000,
1998-02,84.0000,
1998-03,84.0000,
1998-04,84.5000,
1998-05,86.0000,
1998-06,86.0000,
1998-07,84.0000,
1998-08,84.0000,
1998-09,86.0000,
1998-10,86.0000,
1998-11,86.0000,
1998-12,86.0000,
1999-01,86.0000,
1999-02,86.0000,
1999-03,90.0000,
1999-04,90.0000,
1999-05,94.8800,
1999-06,94.8800,
1999-07,94.8800,
1999-08,94.8800,
1999-09,94.8800,
1999-10,95.0000,
1999-11,97.1000,
1999-12,98.2000,
2000-01,99.1500,
2000-02,100.4500,
2000-03,100.5700,
2000-04,100.3700,
2000-05,101.2000,
2000-06,102.2000,
2000-07,104.0000,
2000-08,102.5500,
2000-09,102.2500,
2000-10,102.5000,
2000-11,102.6000,
2000-12,110.0500,
2001-01,110.8000,
2001-02,110.6000,
2001-03,110.7000,
2001-04,114.2000,
2001-05,113.1000,
2001-06,112.0000,
2001-07,111.7000,
