"",BBK01.OEYB18M,BBK01.OEYB18M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:32:23,
2002-01,0.666,
2002-04,0.651,
2002-07,0.666,
2002-10,0.653,
2003-01,0.630,
2003-04,0.607,
2003-07,0.611,
2003-10,0.629,
2004-01,0.621,
2004-04,0.620,
2004-07,0.608,
2004-10,0.585,
2005-01,0.531,
2005-04,0.533,
2005-07,0.592,
2005-10,0.521,
2006-01,0.520,
2006-04,0.512,
2006-07,0.530,
2006-10,0.570,
2007-01,0.585,
2007-04,0.593,
2007-07,0.654,
2007-10,0.636,
2008-01,0.541,
2008-04,0.568,
2008-07,0.597,
2008-10,0.663,
2009-01,0.541,
2009-04,0.555,
2009-07,0.553,
2009-10,0.580,
2010-01,0.478,
2010-04,0.546,
2010-07,0.561,
2010-10,0.598,
2011-01,0.473,
2011-04,0.452,
2011-07,0.463,
2011-10,0.547,
2012-01,0.442,
2012-04,0.430,
2012-07,0.447,
2012-10,0.521,
2013-01,0.469,
2013-04,0.480,
2013-07,0.485,
2013-10,0.559,
2014-01,0.495,
2014-04,0.491,
2014-07,0.511,
