"",BBFB1.Q.N.DE.U3.S1.S1.T.B.G._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.U3.S1.S1.T.B.G._Z._Z._Z._T._X.N_FLAGS
"",Current account / Goods (fob/fob) / Balance / Intra EU Extra Euro Area (EU Member States and institutions not belonging to the Euro area) changing composition,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:30:07,
1991-01,2427.905,
1991-04,1924.843,
1991-07,1646.994,
1991-10,1552.003,
1992-01,2029.934,
1992-04,1739.372,
1992-07,2637.139,
1992-10,2214.833,
1993-01,3150.503,
1993-04,3599.573,
1993-07,3462.142,
1993-10,3053.712,
1994-01,3213.975,
1994-04,4374.790,
1994-07,3792.073,
1994-10,3391.138,
1995-01,3939.068,
1995-04,5251.006,
1995-07,5501.308,
1995-10,5132.736,
1996-01,4799.878,
1996-04,5168.800,
1996-07,4761.722,
1996-10,5017.791,
1997-01,5251.707,
1997-04,6950.516,
1997-07,6516.626,
1997-10,5967.220,
1998-01,6290.745,
1998-04,7905.605,
1998-07,6764.196,
1998-10,6872.002,
1999-01,6336.240,
1999-04,5428.373,
1999-07,6314.338,
1999-10,6100.662,
2000-01,5655.217,
2000-04,6065.325,
2000-07,5618.466,
2000-10,6463.612,
2001-01,7400.305,
2001-04,7747.200,
2001-07,8318.389,
2001-10,7755.758,
2002-01,9265.288,
2002-04,8685.398,
2002-07,10802.898,
2002-10,9360.865,
2003-01,9524.332,
2003-04,8564.991,
2003-07,10680.940,
2003-10,8204.463,
2004-01,10810.551,
2004-04,12307.664,
2004-07,10725.568,
2004-10,9356.717,
2005-01,9443.356,
2005-04,9244.853,
2005-07,10104.646,
2005-10,5982.506,
2006-01,10045.923,
2006-04,10704.631,
2006-07,10850.454,
2006-10,11940.969,
2007-01,14474.238,
2007-04,13296.282,
2007-07,16224.740,
2007-10,15869.866,
2008-01,17516.102,
2008-04,16656.980,
2008-07,15467.650,
2008-10,11349.072,
2009-01,9540.669,
2009-04,9485.831,
2009-07,10726.051,
2009-10,9766.419,
2010-01,9783.802,
2010-04,10486.668,
2010-07,11319.127,
2010-10,10501.141,
2011-01,12618.353,
2011-04,11427.613,
2011-07,11475.261,
2011-10,10055.768,
2012-01,13707.161,
2012-04,14262.340,
2012-07,15102.569,
2012-10,11896.076,
2013-01,14193.899,
2013-04,13864.193,
2013-07,13839.912,
2013-10,12162.597,
2014-01,15995.451,Provisional value
2014-04,15047.570,Provisional value
2014-07,18363.693,Provisional value
