"",BBK01.OEXM04G,BBK01.OEXM04G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:43:48,
2002-01,0.494,
2002-04,0.867,
2002-07,0.904,
2002-10,0.822,
2003-01,0.300,
2003-04,0.500,
2003-07,0.452,
2003-10,0.875,
2004-01,0.345,
2004-04,0.476,
2004-07,0.599,
2004-10,0.417,
2005-01,0.501,
2005-04,0.174,
2005-07,0.151,
2005-10,0.203,
2006-01,0.147,
2006-04,0.133,
2006-07,0.042,
2006-10,0.064,
2007-01,0.092,
2007-04,0.096,
2007-07,0.113,
2007-10,0.116,
2008-01,0.132,
2008-04,0.090,
2008-07,0.117,
2008-10,0.138,
2009-01,0.171,
2009-04,0.142,
2009-07,0.120,
2009-10,0.120,
2010-01,0.102,
2010-04,0.118,
2010-07,0.147,
2010-10,0.162,
2011-01,0.133,
2011-04,0.176,
2011-07,0.224,
2011-10,0.260,
2012-01,0.302,
2012-04,0.416,
2012-07,0.430,
2012-10,0.589,
2013-01,0.427,
2013-04,0.413,
2013-07,0.466,
2013-10,0.426,
2014-01,0.518,
2014-04,0.494,
2014-07,0.658,
