"",BBK01.OECJ05H,BBK01.OECJ05H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:01:36,
2002-01,29.852,
2002-04,29.828,
2002-07,28.934,
2002-10,28.680,
2003-01,28.603,
2003-04,28.388,
2003-07,28.393,
2003-10,27.876,
2004-01,27.492,
2004-04,26.865,
2004-07,26.196,
2004-10,25.401,
2005-01,28.150,
2005-04,27.522,
2005-07,27.197,
2005-10,26.342,
2006-01,25.737,
2006-04,25.271,
2006-07,25.172,
2006-10,24.478,
2007-01,24.140,
2007-04,24.398,
2007-07,24.698,
2007-10,24.742,
2008-01,24.734,
2008-04,25.306,
2008-07,25.119,
2008-10,36.576,
2009-01,36.192,
2009-04,35.549,
2009-07,34.877,
2009-10,34.090,
2010-01,33.565,
2010-04,33.026,
2010-07,32.437,
2010-10,31.428,
2011-01,30.602,
2011-04,29.873,
2011-07,28.515,
2011-10,27.992,
2012-01,27.533,
2012-04,27.198,
2012-07,26.218,
2012-10,25.621,
2013-01,25.161,
2013-04,24.497,
2013-07,23.456,
2013-10,22.577,
2014-01,21.457,
2014-04,19.922,
2014-07,19.708,
