"",BBK01.OEBB22U,BBK01.OEBB22U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:41:08,
2002-01,0.112,
2002-04,0.115,
2002-07,0.128,
2002-10,0.174,
2003-01,0.178,
2003-04,0.168,
2003-07,0.179,
2003-10,0.226,
2004-01,0.196,
2004-04,0.155,
2004-07,0.192,
2004-10,0.228,
2005-01,0.234,
2005-04,0.207,
2005-07,0.228,
2005-10,0.220,
2006-01,0.205,
2006-04,0.191,
2006-07,0.177,
2006-10,0.167,
2007-01,0.172,
2007-04,0.171,
2007-07,0.164,
2007-10,0.150,
2008-01,0.126,
2008-04,0.118,
2008-07,0.111,
2008-10,0.103,
2009-01,0.091,
2009-04,0.069,
2009-07,0.089,
2009-10,0.053,
2010-01,0.053,
2010-04,0.065,
2010-07,0.039,
2010-10,0.037,
2011-01,0.039,
2011-04,0.027,
2011-07,0.023,
2011-10,0.020,
2012-01,0.020,
2012-04,0.016,
2012-07,0.020,
2012-10,0.016,
2013-01,0.025,
2013-04,0.028,
2013-07,0.036,
2013-10,0.036,
2014-01,0.034,
2014-04,0.038,
2014-07,0.036,
