"",BBFN1.M.DE.N.1.A.HU.S1P.H1.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.HU.S1P.H1.T.N000.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents arising from credit terms granted / Total / Hungary,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:15:48,
1994-07,0.397,
1994-08,0.419,
1994-09,0.465,
1994-10,0.485,
1994-11,0.505,
1994-12,0.493,
1995-01,0.477,
1995-02,0.460,
1995-03,0.481,
1995-04,0.499,
1995-05,0.497,
1995-06,0.500,
1995-07,0.477,
1995-08,0.476,
1995-09,0.485,
1995-10,0.504,
1995-11,0.490,
1995-12,0.461,
1996-01,0.478,
1996-02,0.502,
1996-03,0.528,
1996-04,0.520,
1996-05,0.609,
1996-06,0.628,
1996-07,0.547,
1996-08,0.495,
1996-09,0.521,
1996-10,0.545,
1996-11,0.570,
1996-12,0.557,
1997-01,0.568,
1997-02,0.574,
1997-03,0.597,
1997-04,0.616,
1997-05,0.619,
1997-06,0.631,
1997-07,0.631,
1997-08,0.637,
1997-09,0.697,
1997-10,0.783,
1997-11,0.729,
1997-12,0.718,
1998-01,0.716,
1998-02,0.753,
1998-03,0.821,
1998-04,0.792,
1998-05,0.827,
1998-06,0.888,
1998-07,0.878,
1998-08,0.858,
1998-09,0.917,
1998-10,0.946,
1998-11,0.917,
1998-12,0.832,
1999-01,0.753,
1999-02,0.797,
1999-03,0.899,
1999-04,0.862,
1999-05,0.883,
1999-06,0.967,
1999-07,0.937,
1999-08,0.934,
1999-09,0.936,
1999-10,0.962,
1999-11,0.989,
1999-12,0.982,
2000-01,0.938,
2000-02,0.982,
2000-03,1.052,
2000-04,1.025,
2000-05,1.111,
2000-06,1.093,
2000-07,1.148,
2000-08,1.158,
2000-09,1.185,
2000-10,1.226,
2000-11,1.259,
2000-12,1.181,
2001-01,1.091,
2001-02,1.184,
2001-03,1.266,
2001-04,1.223,
2001-05,1.236,
2001-06,1.231,
2001-07,1.232,
2001-08,1.230,
2001-09,1.265,
2001-10,1.285,
2001-11,1.384,
2001-12,1.237,
2002-01,1.173,
2002-02,1.170,
2002-03,1.135,
2002-04,1.159,
2002-05,1.157,
2002-06,1.258,
2002-07,1.191,
2002-08,1.140,
2002-09,1.232,
2002-10,1.248,
2002-11,1.323,
2002-12,1.230,
2003-01,1.119,
2003-02,1.166,
2003-03,1.227,
2003-04,1.225,
2003-05,1.232,
2003-06,1.254,
2003-07,1.210,
2003-08,1.198,
2003-09,1.238,
2003-10,1.282,
2003-11,1.466,
2003-12,1.312,
2004-01,1.191,
2004-02,1.210,
2004-03,1.400,
2004-04,1.257,
2004-05,1.356,
2004-06,1.517,
2004-07,1.326,
2004-08,1.247,
2004-09,1.411,
2004-10,1.517,
2004-11,1.628,
2004-12,1.455,
2005-01,1.343,
2005-02,1.361,
2005-03,1.430,
2005-04,1.453,
2005-05,1.488,
2005-06,1.512,
2005-07,1.490,
2005-08,1.416,
2005-09,1.522,
2005-10,1.535,
2005-11,1.535,
2005-12,1.493,
2006-01,1.325,
2006-02,1.417,
2006-03,1.578,
2006-04,1.612,
2006-05,1.612,
2006-06,1.634,
2006-07,1.692,
2006-08,1.710,
2006-09,1.796,
2006-10,1.836,
2006-11,2.007,
2006-12,1.654,
2007-01,1.672,
2007-02,1.695,
2007-03,1.831,
2007-04,1.881,
2007-05,1.882,
2007-06,1.895,
2007-07,1.816,
2007-08,1.790,
2007-09,1.824,
2007-10,1.967,
2007-11,2.009,
2007-12,1.874,
2008-01,1.900,
2008-02,1.940,
2008-03,2.027,
2008-04,2.105,
2008-05,2.041,
2008-06,2.103,
2008-07,1.974,
2008-08,1.995,
2008-09,2.086,
2008-10,2.081,
2008-11,1.838,
2008-12,1.646,
2009-01,1.520,
2009-02,1.478,
2009-03,1.638,
2009-04,1.491,
2009-05,1.603,
2009-06,1.645,
2009-07,1.668,
2009-08,1.545,
2009-09,1.603,
2009-10,1.678,
2009-11,1.693,
2009-12,1.584,
2010-01,1.498,
2010-02,1.613,
2010-03,1.726,
2010-04,1.559,
2010-05,1.652,
2010-06,1.828,
2010-07,1.820,
2010-08,1.672,
2010-09,1.809,
2010-10,1.957,
2010-11,1.850,
2010-12,1.710,
2011-01,1.516,
2011-02,1.725,
2011-03,1.703,
2011-04,1.626,
2011-05,1.604,
2011-06,1.591,
2011-07,1.600,
2011-08,1.651,
2011-09,1.685,
2011-10,1.779,
2011-11,1.826,
2011-12,1.770,
2012-01,1.591,
2012-02,1.772,
2012-03,1.808,
2012-04,1.799,
2012-05,1.787,
2012-06,1.983,
2012-07,1.827,
2012-08,1.722,
2012-09,1.806,
2012-10,1.853,
2012-11,2.321,
2012-12,1.800,
2013-01,1.893,
2013-02,1.784,
2013-03,1.728,
2013-04,1.797,
2013-05,1.826,
2013-06,2.030,
2013-07,1.992,
2013-08,2.044,
2013-09,2.308,
2013-10,2.434,
2013-11,2.786,
2013-12,1.708,
2014-01,1.792,
2014-02,1.920,
2014-03,2.143,
2014-04,2.164,
2014-05,2.147,
2014-06,2.430,
2014-07,2.382,
2014-08,2.363,
2014-09,2.605,
2014-10,2.669,
2014-11,2.934,
2014-12,1.960,
