"",BBK01.TVP318,BBK01.TVP318_FLAGS
"",Monetary capital formation / Annual percentage change,
unit,% (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-02 10:38:08,
1998-09,6.14,
1998-10,5.42,
1998-11,5.17,
1998-12,4.55,
1999-01,5.31,
1999-02,4.92,
1999-03,4.93,
1999-04,5.72,
1999-05,5.06,
1999-06,5.11,
1999-07,5.22,
1999-08,5.17,
1999-09,5.55,
1999-10,6.78,
1999-11,7.05,
1999-12,7.41,
2000-01,6.56,
2000-02,6.70,
2000-03,6.38,
2000-04,6.29,
2000-05,6.61,
2000-06,6.74,
2000-07,6.93,
2000-08,7.05,
2000-09,6.91,
2000-10,6.58,
2000-11,5.64,
2000-12,4.63,
2001-01,4.73,
2001-02,4.47,
2001-03,4.81,
2001-04,4.05,
2001-05,3.59,
2001-06,3.44,
2001-07,2.81,
2001-08,2.53,
2001-09,2.67,
2001-10,2.78,
2001-11,3.74,
2001-12,4.82,
2002-01,4.85,
2002-02,4.80,
2002-03,4.75,
2002-04,4.70,
2002-05,5.43,
2002-06,4.53,
2002-07,5.25,
2002-08,5.53,
2002-09,5.41,
2002-10,5.17,
2002-11,5.19,
2002-12,5.11,
2003-01,4.78,
2003-02,4.94,
2003-03,4.70,
2003-04,4.98,
2003-05,4.67,
2003-06,5.18,
2003-07,5.37,
2003-08,5.33,
2003-09,5.40,
2003-10,5.83,
2003-11,6.02,
2003-12,5.75,
2004-01,5.88,
2004-02,5.84,
2004-03,6.57,
2004-04,7.22,
2004-05,7.38,
2004-06,7.49,
2004-07,7.39,
2004-08,7.47,
2004-09,7.88,
2004-10,7.77,
2004-11,7.72,
2004-12,8.24,
2005-01,8.14,
2005-02,8.81,
2005-03,8.74,
2005-04,8.36,
2005-05,8.45,
2005-06,9.74,
2005-07,9.35,
2005-08,9.28,
2005-09,8.79,
2005-10,9.08,
2005-11,8.89,
2005-12,8.79,
2006-01,8.53,
2006-02,8.74,
2006-03,8.65,
2006-04,8.69,
2006-05,8.58,
2006-06,7.81,
2006-07,8.43,
2006-08,8.18,
2006-09,8.17,
2006-10,8.33,
2006-11,8.35,
2006-12,8.51,
2007-01,8.65,
2007-02,8.43,
2007-03,9.16,
2007-04,9.08,
2007-05,8.80,
2007-06,9.39,
2007-07,9.42,
2007-08,9.32,
2007-09,8.72,
2007-10,8.72,
2007-11,8.36,
2007-12,9.01,
2008-01,8.93,
2008-02,7.74,
2008-03,6.65,
2008-04,6.67,
2008-05,6.80,
2008-06,5.90,
2008-07,5.54,
2008-08,5.81,
2008-09,5.89,
2008-10,4.38,
2008-11,4.88,
2008-12,4.18,
2009-01,4.83,
2009-02,5.69,
2009-03,5.35,
2009-04,5.14,
2009-05,5.58,
2009-06,6.13,
2009-07,5.99,
2009-08,6.27,
2009-09,6.47,
2009-10,7.07,
2009-11,6.86,
2009-12,6.47,
2010-01,6.25,
2010-02,5.54,
2010-03,5.69,
2010-04,5.85,
2010-05,5.04,
2010-06,3.87,
2010-07,3.86,
2010-08,3.44,
2010-09,3.35,
2010-10,3.38,
2010-11,3.79,
2010-12,3.70,
2011-01,3.34,
2011-02,3.80,
2011-03,3.70,
2011-04,3.80,
2011-05,4.09,
2011-06,4.34,
2011-07,4.36,
2011-08,4.33,
2011-09,4.26,
2011-10,4.26,
2011-11,3.37,
2011-12,2.88,
2012-01,2.73,
2012-02,2.12,
2012-03,1.33,
2012-04,0.83,
2012-05,-0.07,
2012-06,-0.25,
2012-07,-1.12,
2012-08,-1.20,
2012-09,-1.33,
2012-10,-1.79,
2012-11,-1.78,
2012-12,-1.52,
2013-01,-1.68,
2013-02,-1.61,
2013-03,-1.24,
2013-04,-1.49,
2013-05,-1.02,
2013-06,-0.98,
2013-07,-1.02,
2013-08,-1.18,
2013-09,-1.29,
2013-10,-0.85,
2013-11,-0.85,
2013-12,-1.23,
2014-01,-1.16,
2014-02,-1.26,
2014-03,-1.04,
2014-04,-1.05,
2014-05,-1.26,
2014-06,-1.65,
2014-07,-1.27,
2014-08,-1.15,
2014-09,-1.12,
2014-10,-1.72,
2014-11,-1.89,
2014-12,-2.05,
