"",BBK01.CEBRQ3,BBK01.CEBRQ3_FLAGS
"",longer-term time deposits debtor: All sectors                    creditor: Monetary financial institutions,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:14:54,
1991-01,61.9,
1991-04,64.3,
1991-07,65.7,
1991-10,66.1,
1992-01,66.2,
1992-04,64.5,
1992-07,64.1,
1992-10,65.1,
1993-01,65.1,
1993-04,67.2,
1993-07,68.7,
1993-10,70.4,
1994-01,71.4,
1994-04,73.5,
1994-07,73.7,
1994-10,74.6,
1995-01,72.0,
1995-04,74.7,
1995-07,76.9,
1995-10,77.3,
1996-01,81.9,
1996-04,81.3,
1996-07,79.0,
1996-10,80.6,
1997-01,81.8,
1997-04,83.8,
1997-07,86.9,
1997-10,91.6,
1998-01,95.5,
1998-04,97.1,
1998-07,96.8,
1998-10,88.6,
1999-01,91.4,
1999-04,98.2,
1999-07,101.1,
1999-10,104.1,
2000-01,109.5,
2000-04,109.0,
2000-07,115.6,
2000-10,116.0,
2001-01,117.0,
2001-04,123.3,
2001-07,129.4,
2001-10,138.0,
2002-01,143.2,
2002-04,135.0,
2002-07,143.4,
2002-10,147.2,
2003-01,150.1,
2003-04,154.1,
2003-07,160.1,
2003-10,160.1,
2004-01,161.6,
2004-04,155.2,
2004-07,157.7,
2004-10,153.7,
2005-01,164.3,
2005-04,183.7,
2005-07,198.8,
2005-10,211.5,
2006-01,223.8,
2006-04,232.9,
2006-07,240.7,
2006-10,258.7,
2007-01,267.8,
2007-04,278.0,
2007-07,293.3,
2007-10,302.4,
2008-01,306.7,
2008-04,317.1,
2008-07,356.4,
2008-10,364.3,
2009-01,372.0,
2009-04,383.5,
2009-07,359.6,
2009-10,342.6,
2010-01,339.8,
2010-04,341.2,
2010-07,299.4,
2010-10,285.1,
2011-01,277.0,
2011-04,277.0,
2011-07,293.5,
2011-10,304.8,
2012-01,287.9,
2012-04,287.2,
2012-07,280.8,
2012-10,268.1,
2013-01,262.3,
2013-04,253.0,
2013-07,244.7,
2013-10,235.8,
2014-01,238.2,
