"",BBSF2.M.1.P.00000.SON01.I.F.NAV.Z5.00000.000000.Z01.00,BBSF2.M.1.P.00000.SON01.I.F.NAV.Z5.00000.000000.Z01.00_FLAGS
"",Public funds / Other funds / Net asset value,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:42:16,
2009-09,795,
2009-10,790,
2009-11,1488,
2009-12,1480,
2010-01,942,
2010-02,995,
2010-03,1065,
2010-04,1102,
2010-05,1139,
2010-06,1175,
2010-07,1241,
2010-08,1344,
2010-09,1352,
2010-10,1400,
2010-11,1739,
2010-12,1341,
2011-01,1379,
2011-02,1403,
2011-03,1411,
2011-04,1477,
2011-05,1594,
2011-06,1479,
2011-07,1488,
2011-08,1537,
2011-09,1509,
2011-10,1524,
2011-11,2349,
2011-12,1570,
2012-01,1572,
2012-02,1555,
2012-03,1502,
2012-04,1661,
2012-05,1850,
2012-06,1843,
2012-07,1652,
2012-08,1528,
2012-09,1526,
2012-10,1503,
2012-11,2347,
2012-12,1356,
2013-01,1337,
2013-02,1324,
2013-03,1343,
2013-04,1333,
2013-05,1328,
2013-06,1283,
2013-07,1295,
2013-08,1291,
2013-09,1307,
2013-10,1742,
2013-11,1631,
2013-12,1692,
2014-01,1693,
2014-02,1715,
2014-03,1781,
2014-04,1784,
2014-05,1932,
2014-06,1867,
2014-07,1884,
2014-08,1906,
2014-09,1839,
2014-10,1874,
2014-11,1635,
