"",BBK01.OELL01S,BBK01.OELL01S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:17:43,
2002-01,3.242,
2002-04,3.231,
2002-07,3.293,
2002-10,3.433,
2003-01,3.471,
2003-04,3.433,
2003-07,3.407,
2003-10,3.467,
2004-01,3.470,
2004-04,3.457,
2004-07,3.434,
2004-10,3.442,
2005-01,3.372,
2005-04,3.320,
2005-07,3.327,
2005-10,3.377,
2006-01,3.373,
2006-04,3.323,
2006-07,3.300,
2006-10,3.325,
2007-01,3.281,
2007-04,3.262,
2007-07,3.291,
2007-10,3.357,
2008-01,3.375,
2008-04,3.375,
2008-07,3.258,
2008-10,3.424,
2009-01,3.457,
2009-04,3.470,
2009-07,3.527,
2009-10,3.550,
2010-01,3.590,
2010-04,3.621,
2010-07,3.653,
2010-10,3.749,
2011-01,3.708,
2011-04,3.708,
2011-07,3.706,
2011-10,3.873,
2012-01,3.873,
2012-04,3.900,
2012-07,3.950,
2012-10,4.033,
2013-01,4.037,
2013-04,4.052,
2013-07,4.062,
2013-10,4.132,
2014-01,4.071,
2014-04,4.095,
2014-07,4.119,
