"",BBK01.SUD008,BBK01.SUD008_FLAGS
"",Effective interest rates of German banks / Outstanding amounts / Housing loans to households with maturity of over 5 years,
unit,% p.a. (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-03 10:26:37,
2003-01,5.96,
2003-02,5.96,
2003-03,5.95,
2003-04,5.94,
2003-05,5.93,
2003-06,5.91,
2003-07,5.88,
2003-08,5.87,
2003-09,5.85,
2003-10,5.83,
2003-11,5.82,
2003-12,5.79,
2004-01,5.78,
2004-02,5.77,
2004-03,5.75,
2004-04,5.74,
2004-05,5.73,
2004-06,5.71,
2004-07,5.69,
2004-08,5.68,
2004-09,5.67,
2004-10,5.66,
2004-11,5.65,
2004-12,5.63,
2005-01,5.61,
2005-02,5.60,
2005-03,5.59,
2005-04,5.56,
2005-05,5.54,
2005-06,5.52,
2005-07,5.49,
2005-08,5.47,
2005-09,5.45,
2005-10,5.42,
2005-11,5.40,
2005-12,5.36,
2006-01,5.34,
2006-02,5.33,
2006-03,5.30,
2006-04,5.28,
2006-05,5.27,
2006-06,5.26,
2006-07,5.25,
2006-08,5.23,
2006-09,5.22,
2006-10,5.21,
2006-11,5.20,
2006-12,5.19,
2007-01,5.17,
2007-02,5.17,
2007-03,5.16,
2007-04,5.14,
2007-05,5.13,
2007-06,5.13,
2007-07,5.12,
2007-08,5.12,
2007-09,5.12,
2007-10,5.11,
2007-11,5.11,
2007-12,5.10,
2008-01,5.09,
2008-02,5.09,
2008-03,5.08,
2008-04,5.07,
2008-05,5.07,
2008-06,5.07,
2008-07,5.06,
2008-08,5.06,
2008-09,5.06,
2008-10,5.07,
2008-11,5.06,
2008-12,5.06,
2009-01,5.03,
2009-02,5.02,
2009-03,5.01,
2009-04,4.98,
2009-05,4.97,
2009-06,4.95,
2009-07,4.93,
2009-08,4.92,
2009-09,4.91,
2009-10,4.89,
2009-11,4.88,
2009-12,4.86,
2010-01,4.85,
2010-02,4.84,
2010-03,4.83,
2010-04,4.81,
2010-05,4.80,
2010-06,4.74,
2010-07,4.73,
2010-08,4.72,
2010-09,4.69,
2010-10,4.68,
2010-11,4.66,
2010-12,4.64,
2011-01,4.63,
2011-02,4.62,
2011-03,4.60,
2011-04,4.59,
2011-05,4.58,
2011-06,4.58,
2011-07,4.57,
2011-08,4.56,
2011-09,4.55,
2011-10,4.54,
2011-11,4.53,
2011-12,4.51,
2012-01,4.49,
2012-02,4.47,
2012-03,4.46,
2012-04,4.43,
2012-05,4.41,
2012-06,4.39,
2012-07,4.37,
2012-08,4.34,
2012-09,4.33,
2012-10,4.30,
2012-11,4.28,
2012-12,4.26,
2013-01,4.23,
2013-02,4.21,
2013-03,4.19,
2013-04,4.17,
2013-05,4.15,
2013-06,4.12,
2013-07,4.09,
2013-08,4.07,
2013-09,4.05,
2013-10,4.02,
2013-11,4.01,
2013-12,3.98,
2014-01,3.96,
2014-02,3.94,
2014-03,3.92,
2014-04,3.90,
2014-05,3.88,
2014-06,3.86,
2014-07,3.83,
2014-08,3.82,
2014-09,3.80,
2014-10,3.77,
2014-11,3.75,
2014-12,3.72,Provisional value
"","General: Volume-weighted average interest rates on outstanding amounts as end-of-period. The effective interest rates are calculated either as annualised agreed interest rates or as narrowly defined effective rates. Both calculation methods cover all interest payments on deposits and loans but not any other related charges which may occur for enquiries, administration, preparation of the documents, guarantees and credit insurance. Secured and unsecured loans for home purchase, including building and home improvements; including loans granted by building and loan associations and interim credits as well as transmitted loans granted by the reporting agents in their own name and for their own account. p = Provisional",
