"",BBK01.OECO02V,BBK01.OECO02V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:16:15,
2002-01,0.227,
2002-04,0.191,
2002-07,0.135,
2002-10,0.199,
2003-01,0.194,
2003-04,0.149,
2003-07,0.220,
2003-10,0.158,
2004-01,0.174,
2004-04,0.161,
2004-07,0.269,
2004-10,0.245,
2005-01,0.868,
2005-04,0.349,
2005-07,0.300,
2005-10,0.282,
2006-01,0.361,
2006-04,0.315,
2006-07,0.316,
2006-10,0.345,
2007-01,0.513,
2007-04,0.312,
2007-07,0.283,
2007-10,0.326,
2008-01,0.357,
2008-04,0.362,
2008-07,0.238,
2008-10,0.328,
2009-01,0.423,
2009-04,0.327,
2009-07,0.379,
2009-10,0.318,
2010-01,0.418,
2010-04,0.233,
2010-07,0.179,
2010-10,0.203,
2011-01,0.251,
2011-04,0.236,
2011-07,0.247,
2011-10,0.212,
2012-01,0.503,
2012-04,0.195,
2012-07,0.235,
2012-10,0.248,
2013-01,0.337,
2013-04,0.208,
2013-07,0.169,
2013-10,0.185,
2014-01,0.160,
2014-04,0.143,
2014-07,0.204,
