"",BBK01.OEBI06Q,BBK01.OEBI06Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:52:49,
2002-01,0.090,
2002-04,0.085,
2002-07,0.074,
2002-10,0.067,
2003-01,0.061,
2003-04,0.069,
2003-07,0.068,
2003-10,0.066,
2004-01,0.066,
2004-04,0.066,
2004-07,0.063,
2004-10,0.059,
2005-01,0.061,
2005-04,0.059,
2005-07,0.061,
2005-10,0.059,
2006-01,0.059,
2006-04,0.062,
2006-07,0.063,
2006-10,0.065,
2007-01,0.039,
2007-04,0.042,
2007-07,0.041,
2007-10,0.047,
2008-01,0.060,
2008-04,0.068,
2008-07,0.074,
2008-10,0.083,
2009-01,0.092,
2009-04,0.077,
2009-07,0.070,
2009-10,0.066,
2010-01,0.086,
2010-04,0.109,
2010-07,0.126,
2010-10,0.138,
2011-01,0.155,
2011-04,0.185,
2011-07,0.197,
2011-10,0.196,
2012-01,0.189,
2012-04,0.194,
2012-07,0.185,
2012-10,0.165,
2013-01,0.144,
2013-04,0.119,
2013-07,0.116,
2013-10,0.106,
2014-01,0.097,
2014-04,0.078,
2014-07,0.070,
