"",BBK01.OEAA22O,BBK01.OEAA22O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:18:33,
2002-01,3.132,
2002-04,2.980,
2002-07,2.911,
2002-10,3.155,
2003-01,2.877,
2003-04,2.992,
2003-07,3.064,
2003-10,3.247,
2004-01,3.390,
2004-04,3.243,
2004-07,3.295,
2004-10,2.599,
2005-01,3.472,
2005-04,3.466,
2005-07,3.428,
2005-10,3.396,
2006-01,3.363,
2006-04,3.445,
2006-07,3.448,
2006-10,3.502,
2007-01,3.462,
2007-04,3.633,
2007-07,3.704,
2007-10,3.737,
2008-01,3.826,
2008-04,3.816,
2008-07,3.438,
2008-10,3.394,
2009-01,3.329,
2009-04,3.871,
2009-07,4.113,
2009-10,4.421,
2010-01,4.338,
2010-04,4.556,
2010-07,4.525,
2010-10,4.333,
2011-01,4.318,
2011-04,4.377,
2011-07,4.603,
2011-10,4.382,
2012-01,4.683,
2012-04,4.739,
2012-07,4.707,
2012-10,4.616,
2013-01,4.459,
2013-04,4.434,
2013-07,5.147,
2013-10,4.932,
2014-01,5.066,
2014-04,5.178,
2014-07,5.077,
