"",BBSF2.M.1.S.00000.TOT01.I.F.AKT.NO.00000.F05100.Z01.00,BBSF2.M.1.S.00000.TOT01.I.F.AKT.NO.00000.F05100.Z01.00_FLAGS
"",Special investors funds / Funds total / Shares / Norway,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:47:00,
2009-09,449,
2009-10,453,
2009-11,467,
2009-12,509,
2010-01,494,
2010-02,532,
2010-03,594,
2010-04,619,
2010-05,560,
2010-06,528,
2010-07,584,
2010-08,555,
2010-09,611,
2010-10,639,
2010-11,619,
2010-12,764,
2011-01,747,
2011-02,838,
2011-03,843,
2011-04,848,
2011-05,846,
2011-06,801,
2011-07,828,
2011-08,761,
2011-09,694,
2011-10,829,
2011-11,811,
2011-12,857,
2012-01,879,
2012-02,986,
2012-03,962,
2012-04,921,
2012-05,790,
2012-06,868,
2012-07,941,
2012-08,986,
2012-09,1021,
2012-10,1028,
2012-11,1027,
2012-12,1015,
2013-01,1067,
2013-02,1063,
2013-03,1064,
2013-04,1052,
2013-05,1093,
2013-06,1013,
2013-07,1096,
2013-08,1079,
2013-09,1079,
2013-10,1151,
2013-11,1170,
2013-12,1230,
2014-01,1142,
2014-02,1209,
2014-03,1222,
2014-04,1256,
2014-05,1275,
2014-06,1237,
2014-07,1233,
2014-08,1288,
2014-09,1315,
2014-10,1247,
2014-11,1160,
