"",BBSF2.M.1.S.00000.AKT01.I.F.BGH.DE.00122.000000.EUR.00,BBSF2.M.1.S.00000.AKT01.I.F.BGH.DE.00122.000000.EUR.00_FLAGS
"",Special investors funds / Equity funds / Deposits and loan claims / Germany / Monetary financial institutes (MFIs) / Denominated in Euro,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:40:18,
2009-09,2718,
2009-10,2559,
2009-11,2096,
2009-12,1945,
2010-01,2033,
2010-02,2101,
2010-03,1765,
2010-04,1858,
2010-05,1831,
2010-06,1794,
2010-07,1912,
2010-08,1996,
2010-09,1474,
2010-10,1262,
2010-11,1552,
2010-12,1221,
2011-01,2086,
2011-02,1667,
2011-03,1821,
2011-04,1922,
2011-05,2052,
2011-06,1832,
2011-07,1875,
2011-08,1965,
2011-09,2568,
2011-10,2056,
2011-11,2136,
2011-12,1898,
2012-01,2205,
2012-02,1881,
2012-03,1983,
2012-04,2005,
2012-05,1781,
2012-06,2321,
2012-07,1814,
2012-08,2335,
2012-09,2176,
2012-10,2107,
2012-11,1912,
2012-12,1734,
2013-01,2148,
2013-02,1903,
2013-03,2238,
2013-04,2147,
2013-05,2184,
2013-06,1954,
2013-07,2026,
2013-08,1756,
2013-09,1763,
2013-10,1715,
2013-11,1694,
2013-12,1819,
2014-01,1981,
2014-02,2004,
2014-03,2110,
2014-04,1978,
2014-05,2235,
2014-06,2244,
2014-07,2323,
2014-08,2654,
2014-09,2689,
2014-10,2237,
2014-11,2015,
