"",BBFB1.Q.N.DE.B2.S1.S1.T.C.SD._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.B2.S1.S1.T.C.SD._Z._Z._Z._T._X.N_FLAGS
"",Current account / Travel / Receipts / EU15 (fixed composition),
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:37:37,
1999-01,2176.818,
1999-04,2596.205,
1999-07,3108.418,
1999-10,2665.746,
2000-01,2551.399,
2000-04,3055.867,
2000-07,3515.175,
2000-10,3066.064,
2001-01,2774.520,
2001-04,3209.986,
2001-07,3544.027,
2001-10,3064.876,
2002-01,2606.553,
2002-04,3175.281,
2002-07,3671.087,
2002-10,3179.454,
2003-01,2667.963,
2003-04,3243.241,
2003-07,3714.427,
2003-10,3225.481,
2004-01,2955.267,
2004-04,3501.399,
2004-07,4000.760,
2004-10,3458.613,
2005-01,3115.632,
2005-04,3791.256,
2005-07,4189.208,
2005-10,3577.626,
2006-01,3204.774,
2006-04,4372.195,
2006-07,4729.061,
2006-10,4048.161,
2007-01,3434.892,
2007-04,4118.870,
2007-07,4926.355,
2007-10,4101.617,
2008-01,3519.683,
2008-04,4284.753,
2008-07,4932.472,
2008-10,4129.435,
2009-01,3112.636,
2009-04,3820.829,
2009-07,4591.116,
2009-10,3754.507,
2010-01,3136.074,
2010-04,3889.457,
2010-07,4749.955,
2010-10,3828.065,
2011-01,3235.230,
2011-04,3926.071,
2011-07,4828.751,
2011-10,3899.194,
2012-01,3304.000,
2012-04,3945.456,
2012-07,4851.925,
2012-10,3906.360,
2013-01,3453.215,
2013-04,4047.797,
2013-07,4944.502,
2013-10,4031.699,
2014-01,3457.165,Provisional value
2014-04,4205.608,Provisional value
2014-07,5072.205,Provisional value
2014-10,4110.869,Provisional value
