"",BBSF2.M.1.T.00000.DGE01.I.F.NAV.Z5.00000.000000.Z01.00,BBSF2.M.1.T.00000.DGE01.I.F.NAV.Z5.00000.000000.Z01.00_FLAGS
"",Funds total / Funds-of-funds: Mixed funds / Net asset value,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:47:52,
2009-09,1558,
2009-10,1873,
2009-11,1882,
2009-12,1938,
2010-01,1858,
2010-02,1612,
2010-03,1599,
2010-04,1648,
2010-05,1666,
2010-06,1677,
2010-07,2229,
2010-08,5692,
2010-09,5791,
2010-10,5821,
2010-11,5737,
2010-12,6115,
2011-01,6196,
2011-02,6148,
2011-03,6112,
2011-04,6161,
2011-05,6246,
2011-06,6383,
2011-07,6365,
2011-08,6221,
2011-09,6151,
2011-10,6308,
2011-11,6021,
2011-12,6424,
2012-01,6563,
2012-02,6663,
2012-03,6789,
2012-04,6825,
2012-05,6844,
2012-06,6890,
2012-07,15754,
2012-08,15902,
2012-09,16061,
2012-10,17017,
2012-11,17244,
2012-12,17230,
2013-01,17890,
2013-02,18079,
2013-03,18427,
2013-04,18729,
2013-05,18980,
2013-06,18660,
2013-07,19097,
2013-08,19063,
2013-09,19561,
2013-10,20077,
2013-11,20224,
2013-12,20905,
2014-01,21016,
2014-02,21415,
2014-03,21889,
2014-04,22075,
2014-05,22487,
2014-06,22998,
2014-07,23139,
2014-08,23569,
2014-09,23570,
2014-10,23772,
2014-11,24151,
