"",BBK01.OEXB18K,BBK01.OEXB18K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:29:33,
2002-01,1.022,
2002-04,1.032,
2002-07,1.057,
2002-10,0.860,
2003-01,0.811,
2003-04,0.854,
2003-07,0.830,
2003-10,0.928,
2004-01,0.714,
2004-04,0.731,
2004-07,0.692,
2004-10,0.646,
2005-01,0.790,
2005-04,0.816,
2005-07,0.788,
2005-10,0.817,
2006-01,0.783,
2006-04,0.816,
2006-07,0.816,
2006-10,0.874,
2007-01,0.853,
2007-04,0.797,
2007-07,0.814,
2007-10,1.089,
2008-01,1.055,
2008-04,0.850,
2008-07,0.771,
2008-10,0.762,
2009-01,0.795,
2009-04,0.752,
2009-07,0.769,
2009-10,0.900,
2010-01,0.931,
2010-04,2.086,
2010-07,1.975,
2010-10,2.159,
2011-01,2.163,
2011-04,2.156,
2011-07,2.197,
2011-10,2.176,
2012-01,2.189,
2012-04,2.207,
2012-07,2.072,
2012-10,2.131,
2013-01,2.168,
2013-04,2.184,
2013-07,2.200,
2013-10,2.323,
2014-01,2.359,
2014-04,2.404,
2014-07,2.457,
