"",BBK01.OECO04L,BBK01.OECO04L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:13:49,
2002-01,0.685,
2002-04,6.142,
2002-07,0.114,
2002-10,-0.772,
2003-01,0.037,
2003-04,0.682,
2003-07,-1.248,
2003-10,0.143,
2004-01,0.568,
2004-04,0.205,
2004-07,-2.589,
2004-10,-0.235,
2005-01,-0.019,
2005-04,0.012,
2005-07,0.547,
2005-10,1.286,
2006-01,0.408,
2006-04,0.021,
2006-07,0.140,
2006-10,-0.153,
2007-01,0.096,
2007-04,-0.212,
2007-07,-0.066,
2007-10,-0.240,
2008-01,0.026,
2008-04,0.197,
2008-07,0.149,
2008-10,-1.583,
2009-01,0.445,
2009-04,1.028,
2009-07,0.975,
2009-10,0.845,
2010-01,1.156,
2010-04,-1.870,
2010-07,0.039,
2010-10,-0.271,
2011-01,0.226,
2011-04,-1.033,
2011-07,-0.039,
2011-10,-0.037,
2012-01,0.590,
2012-04,-0.111,
2012-07,-0.054,
2012-10,-0.001,
2013-01,-0.248,
2013-04,-0.103,
2013-07,-0.157,
2013-10,-0.073,
2014-01,-0.090,
2014-04,-0.103,
2014-07,0.143,
