"",BBK01.OEHB12T,BBK01.OEHB12T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:40:24,
2002-01,1.184,
2002-04,1.194,
2002-07,1.206,
2002-10,1.217,
2003-01,1.223,
2003-04,1.215,
2003-07,1.224,
2003-10,1.232,
2004-01,1.198,
2004-04,1.186,
2004-07,1.164,
2004-10,1.159,
2005-01,1.126,
2005-04,1.149,
2005-07,1.132,
2005-10,1.114,
2006-01,1.065,
2006-04,1.071,
2006-07,1.073,
2006-10,1.081,
2007-01,1.064,
2007-04,1.066,
2007-07,1.063,
2007-10,1.057,
2008-01,1.054,
2008-04,1.092,
2008-07,1.090,
2008-10,1.111,
2009-01,1.116,
2009-04,1.155,
2009-07,1.150,
2009-10,1.178,
2010-01,1.181,
2010-04,1.220,
2010-07,1.247,
2010-10,1.268,
2011-01,1.233,
2011-04,1.242,
2011-07,1.273,
2011-10,1.314,
2012-01,1.291,
2012-04,1.318,
2012-07,1.367,
2012-10,1.429,
2013-01,1.448,
2013-04,1.530,
2013-07,1.575,
2013-10,1.615,
2014-01,1.607,
2014-04,1.666,
2014-07,1.730,
