"",BBK01.OEAK04L,BBK01.OEAK04L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:07:25,
2002-01,2.575,
2002-04,2.493,
2002-07,2.540,
2002-10,2.589,
2003-01,2.395,
2003-04,2.191,
2003-07,2.071,
2003-10,1.987,
2004-01,2.079,
2004-04,1.896,
2004-07,1.941,
2004-10,2.213,
2005-01,2.052,
2005-04,2.084,
2005-07,2.214,
2005-10,2.179,
2006-01,2.239,
2006-04,2.465,
2006-07,3.362,
2006-10,3.669,
2007-01,3.914,
2007-04,4.373,
2007-07,4.800,
2007-10,5.778,
2008-01,6.059,
2008-04,6.844,
2008-07,7.522,
2008-10,7.335,
2009-01,6.012,
2009-04,5.329,
2009-07,5.226,
2009-10,4.341,
2010-01,3.809,
2010-04,4.996,
2010-07,5.712,
2010-10,4.740,
2011-01,5.265,
2011-04,5.627,
2011-07,4.183,
2011-10,4.140,
2012-01,4.316,
2012-04,4.318,
2012-07,3.976,
2012-10,3.515,
2013-01,3.328,
2013-04,3.083,
2013-07,2.758,
2013-10,2.674,
2014-01,2.803,
2014-04,2.948,
2014-07,2.900,
