"",BBFB1.M.N.DE.W1.S12T.S1.T.A.FA.D.F._Z._T._X.N,BBFB1.M.N.DE.W1.S12T.S1.T.A.FA.D.F._Z._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Direct investment / Monetary financial institutions / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:52:24,
1991-01,92.038,
1991-02,12.561,
1991-03,131.492,
1991-04,278.567,
1991-05,51.299,
1991-06,-25.700,
1991-07,253.284,
1991-08,35.996,
1991-09,41.899,
1991-10,39.756,
1991-11,94.642,
1991-12,363.690,
1992-01,148.550,
1992-02,139.149,
1992-03,189.316,
1992-04,231.375,
1992-05,63.405,
1992-06,106.817,
1992-07,196.849,
1992-08,8.661,
1992-09,333.064,
1992-10,99.519,
1992-11,56.307,
1992-12,576.976,
1993-01,174.129,
1993-02,183.795,
1993-03,261.919,
1993-04,230.462,
1993-05,152.546,
1993-06,297.726,
1993-07,161.507,
1993-08,206.064,
1993-09,275.385,
1993-10,170.617,
1993-11,279.598,
1993-12,678.678,
1994-01,80.182,
1994-02,69.392,
1994-03,251.596,
1994-04,197.974,
1994-05,239.993,
1994-06,170.634,
1994-07,158.849,
1994-08,189.795,
1994-09,162.302,
1994-10,142.928,
1994-11,190.331,
1994-12,856.217,
1995-01,118.102,
1995-02,99.473,
1995-03,123.849,
1995-04,160.155,
1995-05,207.029,
1995-06,471.107,
1995-07,515.051,
1995-08,165.294,
1995-09,171.112,
1995-10,146.800,
1995-11,-8.146,
1995-12,788.335,
1996-01,600.888,
1996-02,584.340,
1996-03,261.428,
1996-04,18.754,
1996-05,189.376,
1996-06,305.055,
1996-07,181.352,
1996-08,139.259,
1996-09,80.652,
1996-10,428.948,
1996-11,148.562,
1996-12,676.982,
1997-01,189.172,
1997-02,142.383,
1997-03,208.770,
1997-04,154.189,
1997-05,104.147,
1997-06,391.334,
1997-07,1896.472,
1997-08,395.833,
1997-09,479.533,
1997-10,110.512,
1997-11,84.489,
1997-12,454.378,
1998-01,202.233,
1998-02,-123.860,
1998-03,67.292,
1998-04,185.214,
1998-05,200.423,
1998-06,690.365,
1998-07,724.324,
1998-08,89.841,
1998-09,2735.220,
1998-10,29.842,
1998-11,-10.415,
1998-12,-1481.333,
1999-01,652.263,
1999-02,195.431,
1999-03,-89.748,
1999-04,150.151,
1999-05,5576.462,
1999-06,6418.897,
1999-07,1110.670,
1999-08,1012.396,
1999-09,51.735,
1999-10,-2608.009,
1999-11,250.671,
1999-12,2612.006,
2000-01,448.399,
2000-02,3991.044,
2000-03,643.274,
2000-04,1421.428,
2000-05,867.923,
2000-06,752.956,
2000-07,3183.519,
2000-08,967.292,
2000-09,483.988,
2000-10,2259.993,
2000-11,222.733,
2000-12,8849.874,
2001-01,1796.867,
2001-02,60.547,
2001-03,414.122,
2001-04,1170.377,
2001-05,827.380,
2001-06,197.077,
2001-07,71.218,
2001-08,290.543,
2001-09,-216.752,
2001-10,602.938,
2001-11,-901.852,
2001-12,-791.726,
2002-01,474.611,
2002-02,-241.052,
2002-03,-815.591,
2002-04,490.844,
2002-05,649.075,
2002-06,-170.763,
2002-07,76.443,
2002-08,71.490,
2002-09,34.319,
