"",BBK01.OEAD39O,BBK01.OEAD39O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:59:55,
2002-01,0.106,
2002-04,0.108,
2002-07,0.102,
2002-10,0.111,
2003-01,0.110,
2003-04,0.107,
2003-07,0.096,
2003-10,0.093,
2004-01,0.089,
2004-04,0.089,
2004-07,0.091,
2004-10,0.087,
2005-01,0.089,
2005-04,0.094,
2005-07,0.098,
2005-10,0.103,
2006-01,0.097,
2006-04,0.093,
2006-07,0.092,
2006-10,0.100,
2007-01,0.090,
2007-04,0.094,
2007-07,0.095,
2007-10,0.091,
2008-01,0.099,
2008-04,0.098,
2008-07,0.071,
2008-10,0.079,
2009-01,0.070,
2009-04,0.065,
2009-07,0.064,
2009-10,0.055,
2010-01,0.061,
2010-04,0.074,
2010-07,0.070,
2010-10,0.071,
2011-01,0.070,
2011-04,0.060,
2011-07,0.057,
2011-10,0.055,
2012-01,0.053,
2012-04,0.051,
2012-07,0.053,
2012-10,0.052,
2013-01,0.054,
2013-04,0.054,
2013-07,0.052,
2013-10,0.059,
2014-01,0.059,
2014-04,0.059,
2014-07,0.057,
