"",BBK01.OECB01M,BBK01.OECB01M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:31:35,
2002-01,14.401,
2002-04,13.955,
2002-07,13.209,
2002-10,13.169,
2003-01,13.112,
2003-04,12.464,
2003-07,12.357,
2003-10,11.616,
2004-01,11.560,
2004-04,11.472,
2004-07,11.408,
2004-10,11.993,
2005-01,19.717,
2005-04,19.665,
2005-07,19.666,
2005-10,19.301,
2006-01,19.323,
2006-04,21.036,
2006-07,21.000,
2006-10,21.457,
2007-01,23.388,
2007-04,20.487,
2007-07,20.002,
2007-10,20.798,
2008-01,20.503,
2008-04,20.220,
2008-07,19.858,
2008-10,18.942,
2009-01,18.587,
2009-04,19.621,
2009-07,18.915,
2009-10,18.009,
2010-01,18.567,
2010-04,17.747,
2010-07,17.866,
2010-10,17.279,
2011-01,17.396,
2011-04,17.510,
2011-07,17.095,
2011-10,17.047,
2012-01,17.186,
2012-04,16.791,
2012-07,16.327,
2012-10,16.172,
2013-01,16.266,
2013-04,16.459,
2013-07,15.903,
2013-10,16.140,
2014-01,16.210,
2014-04,16.250,
2014-07,15.865,
