"",BBFB1.Q.N.DE.TR.S1.S1.T.L.FA.O.F._Z._T._X.N,BBFB1.Q.N.DE.TR.S1.S1.T.L.FA.O.F._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Other investment / Turkey,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:44:54,
1991-01,49.903,
1991-04,-40.699,
1991-07,59.012,
1991-10,-4.344,
1992-01,21.991,
1992-04,187.742,
1992-07,68.681,
1992-10,120.779,
1993-01,-77.751,
1993-04,326.638,
1993-07,234.256,
1993-10,268.014,
1994-01,-746.817,
1994-04,229.031,
1994-07,82.310,
1994-10,36.589,
1995-01,385.647,
1995-04,53.943,
1995-07,633.100,
1995-10,-792.980,
1996-01,213.511,
1996-04,266.392,
1996-07,-265.826,
1996-10,-218.097,
1997-01,267.908,
1997-04,-105.336,
1997-07,-145.908,
1997-10,1098.153,
1998-01,-728.066,
1998-04,-143.748,
1998-07,-127.954,
1998-10,-252.023,
1999-01,258.931,
1999-04,-51.057,
1999-07,59.286,
1999-10,533.901,
2000-01,421.778,
2000-04,-567.754,
2000-07,986.154,
2000-10,-342.356,
2001-01,-53.303,
2001-04,127.664,
2001-07,-14.443,
2001-10,557.727,
2002-01,-423.956,
2002-04,129.984,
2002-07,-198.050,
2002-10,-630.720,
2003-01,-290.093,
2003-04,274.154,
2003-07,-18.738,
2003-10,-537.152,
2004-01,326.445,
2004-04,9.631,
2004-07,729.372,
2004-10,-60.261,
2005-01,-527.387,
2005-04,461.465,
2005-07,479.252,
2005-10,-76.322,
2006-01,53.960,
2006-04,522.376,
2006-07,84.381,
2006-10,1431.974,
2007-01,-1642.676,
2007-04,868.040,
2007-07,309.060,
2007-10,-549.635,
2008-01,-735.369,
2008-04,660.165,
2008-07,-129.587,
2008-10,211.412,
2009-01,208.414,
2009-04,-807.147,
2009-07,-258.865,
2009-10,-578.647,
2010-01,206.325,
2010-04,397.341,
2010-07,-481.801,
2010-10,-474.553,
2011-01,29.558,
2011-04,100.716,
2011-07,313.990,
2011-10,490.983,
2012-01,612.806,
2012-04,150.815,
2012-07,-25.605,
2012-10,199.032,
2013-01,111.346,
2013-04,-252.699,
2013-07,-155.722,
2013-10,321.159,
2014-01,-29.615,Provisional value
2014-04,127.185,Provisional value
2014-07,306.071,Provisional value
2014-10,-725.445,Provisional value
