"",BBK01.OEHJ03Q,BBK01.OEHJ03Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:02:28,
2002-01,0.760,
2002-04,0.809,
2002-07,0.803,
2002-10,0.708,
2003-01,0.802,
2003-04,0.793,
2003-07,0.831,
2003-10,0.868,
2004-01,0.836,
2004-04,0.897,
2004-07,0.963,
2004-10,1.042,
2005-01,0.931,
2005-04,1.036,
2005-07,1.017,
2005-10,1.116,
2006-01,1.133,
2006-04,1.215,
2006-07,1.191,
2006-10,1.318,
2007-01,1.347,
2007-04,1.374,
2007-07,1.433,
2007-10,1.402,
2008-01,1.406,
2008-04,1.447,
2008-07,1.503,
2008-10,1.442,
2009-01,1.305,
2009-04,1.263,
2009-07,1.216,
2009-10,1.156,
2010-01,1.123,
2010-04,1.115,
2010-07,0.751,
2010-10,0.628,
2011-01,0.934,
2011-04,1.066,
2011-07,1.097,
2011-10,1.112,
2012-01,1.101,
2012-04,1.054,
2012-07,0.987,
2012-10,1.065,
2013-01,0.984,
2013-04,0.982,
2013-07,0.992,
2013-10,0.965,
2014-01,0.917,
2014-04,0.951,
2014-07,0.962,
