"",BBK01.OECO01N,BBK01.OECO01N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:14:18,
2002-01,5.836,
2002-04,5.569,
2002-07,3.501,
2002-10,3.446,
2003-01,3.817,
2003-04,3.749,
2003-07,3.632,
2003-10,4.286,
2004-01,4.254,
2004-04,3.984,
2004-07,3.936,
2004-10,5.015,
2005-01,12.605,
2005-04,12.497,
2005-07,12.758,
2005-10,12.007,
2006-01,11.818,
2006-04,11.015,
2006-07,10.667,
2006-10,10.185,
2007-01,10.764,
2007-04,10.588,
2007-07,9.971,
2007-10,9.575,
2008-01,10.689,
2008-04,11.723,
2008-07,10.463,
2008-10,9.436,
2009-01,13.007,
2009-04,13.536,
2009-07,16.813,
2009-10,14.712,
2010-01,13.742,
2010-04,13.619,
2010-07,13.463,
2010-10,13.428,
2011-01,13.664,
2011-04,13.506,
2011-07,13.070,
2011-10,12.953,
2012-01,12.890,
2012-04,14.444,
2012-07,14.169,
2012-10,14.136,
2013-01,14.179,
2013-04,13.215,
2013-07,12.952,
2013-10,12.656,
2014-01,12.616,
2014-04,12.291,
2014-07,12.022,
