"",BBSF2.M.1.S.I1250.AKT01.I.F.MAK.DE.00000.000000.Z01.00,BBSF2.M.1.S.I1250.AKT01.I.F.MAK.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Equity funds / Net sales receipts / Insurance corporations / Distribution and cumulative funds,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:49:17,
1993-04,30,
1993-05,9,
1993-06,5,
1993-07,15,
1993-08,16,
1993-09,23,
1993-10,33,
1993-11,53,
1993-12,195,
1994-01,208,
1994-02,98,
1994-03,74,
1994-04,100,
1994-05,31,
1994-06,0,
1994-07,45,
1994-08,36,
1994-09,87,
1994-10,52,
1994-11,9,
1994-12,243,
1995-01,70,
1995-02,106,
1995-03,15,
1995-04,93,
1995-05,42,
1995-06,107,
1995-07,-3,
1995-08,7,
1995-09,77,
1995-10,46,
1995-11,8,
1995-12,195,
1996-01,315,
1996-02,52,
1996-03,45,
1996-04,50,
1996-05,127,
1996-06,47,
1996-07,166,
1996-08,12,
1996-09,47,
1996-10,59,
1996-11,178,
1996-12,939,
1997-01,460,
1997-02,258,
1997-03,321,
1997-04,53,
1997-05,204,
1997-06,408,
1997-07,220,
1997-08,182,
1997-09,103,
1997-10,495,
1997-11,77,
1997-12,585,
1998-01,481,
1998-02,-127,
1998-03,451,
1998-04,316,
1998-05,117,
1998-06,159,
1998-07,287,
1998-08,353,
1998-09,183,
1998-10,99,
1998-11,26,
1998-12,774,
1999-01,1216,
1999-02,159,
1999-03,113,
1999-04,-619,
1999-05,150,
1999-06,-16,
1999-07,132,
1999-08,-8,
1999-09,-33,
1999-10,327,
1999-11,560,
1999-12,274,
2000-01,860,
2000-02,-197,
2000-03,29,
2000-04,1604,
2000-05,330,
2000-06,1542,
2000-07,604,
2000-08,-234,
2000-09,220,
2000-10,759,
2000-11,180,
2000-12,1441,
2001-01,454,
2001-02,-36,
2001-03,400,
2001-04,1108,
2001-05,249,
2001-06,342,
2001-07,314,
2001-08,270,
2001-09,133,
2001-10,-45,
2001-11,-235,
2001-12,1854,
2002-01,1404,
2002-02,13,
2002-03,508,
2002-04,1612,
2002-05,138,
2002-06,-203,
2002-07,272,
2002-08,431,
2002-09,76,
2002-10,307,
2002-11,57,
2002-12,101,
2003-01,86,
2003-02,-51,
2003-03,-224,
2003-04,-48,
2003-05,392,
2003-06,-427,
2003-07,298,
2003-08,-209,
2003-09,370,
2003-10,300,
2003-11,2019,
2003-12,1091,
2004-01,-275,
2004-02,103,
2004-03,-4,
2004-04,-421,
2004-05,-840,
2004-06,-98,
2004-07,-381,
2004-08,341,
2004-09,-401,
2004-10,-781,
2004-11,-1261,
2004-12,-487,
2005-01,267,
2005-02,-253,
2005-03,65,
2005-04,-53,
2005-05,-150,
2005-06,310,
2005-07,472,
2005-08,41,
2005-09,407,
2005-10,28,
2005-11,727,
2005-12,60,
2006-01,1328,
2006-02,-378,
2006-03,-492,
2006-04,332,
2006-05,83,
2006-06,132,
2006-07,1074,
2006-08,-113,
2006-09,-22,
2006-10,-99,
2006-11,30,
2006-12,-507,
2007-01,173,
2007-02,294,
2007-03,58,
2007-04,-514,
2007-05,-366,
2007-06,-1117,
2007-07,1281,
2007-08,545,
2007-09,56,
2007-10,49,
2007-11,-141,
2007-12,1085,
2008-01,222,
2008-02,-171,
2008-03,1601,
2008-04,-641,
2008-05,110,
2008-06,1058,
2008-07,-221,
2008-08,-20,
2008-09,-172,
2008-10,-126,
2008-11,-174,
2008-12,-113,
2009-01,-57,
2009-02,-53,
2009-03,-967,
2009-04,-509,
2009-05,-393,
2009-06,-711,
2009-07,-151,
2009-08,-533,
2009-09,-170,
2009-10,-338,
2009-11,-197,
2009-12,48,
2010-01,152,
2010-02,-279,
2010-03,225,
2010-04,595,
2010-05,-184,
2010-06,147,
2010-07,30,
2010-08,12,
2010-09,-96,
2010-10,-55,
2010-11,107,
2010-12,-269,
2011-01,85,
2011-02,288,
2011-03,85,
2011-04,180,
2011-05,345,
2011-06,55,
2011-07,165,
2011-08,16,
2011-09,-480,
2011-10,12,
2011-11,-51,
2011-12,11,
2012-01,-380,
2012-02,-195,
2012-03,123,
2012-04,2,
2012-05,749,
2012-06,60,
2012-07,-548,
2012-08,-319,
2012-09,98,
2012-10,175,
2012-11,397,
2012-12,-40,
2013-01,405,
2013-02,80,
2013-03,809,
2013-04,466,
2013-05,367,
2013-06,106,
2013-07,109,
2013-08,276,
2013-09,480,
2013-10,549,
2013-11,768,
2013-12,699,
2014-01,36,
2014-02,50,
2014-03,-103,
2014-04,4862,
2014-05,101,
2014-06,-129,
2014-07,936,
2014-08,519,
2014-09,130,
2014-10,204,
2014-11,1051,
