"",BBK01.CELRN0,BBK01.CELRN0_FLAGS
"",long-term time deposits                                      debtor: Rest of the world                   creditor: Total,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:51:10,
1999-01,1.6,
1999-04,7.1,
1999-07,2.2,
1999-10,1.4,
2000-01,4.4,
2000-04,-0.1,
2000-07,5.1,
2000-10,1.6,
2001-01,-0.1,
2001-04,6.0,
2001-07,8.2,
2001-10,8.4,
2002-01,5.2,
2002-04,3.6,
2002-07,4.2,
2002-10,6.0,
2003-01,5.6,
2003-04,7.5,
2003-07,6.4,
2003-10,2.7,
2004-01,-2.3,
2004-04,-5.9,
2004-07,4.9,
2004-10,1.4,
2005-01,9.9,
2005-04,18.0,
2005-07,15.8,
2005-10,13.2,
2006-01,8.9,
2006-04,14.3,
2006-07,12.5,
2006-10,26.8,
2007-01,19.6,
2007-04,20.8,
2007-07,26.1,
2007-10,27.8,
2008-01,15.1,
2008-04,20.6,
2008-07,37.1,
2008-10,6.2,
2009-01,3.9,
2009-04,12.6,
2009-07,-6.9,
2009-10,-14.5,
2010-01,-0.9,
2010-04,-3.0,
2010-07,-18.3,
2010-10,-2.4,
2011-01,6.8,
2011-04,1.5,
2011-07,4.2,
2011-10,-14.4,
2012-01,-10.5,
2012-04,-12.5,
2012-07,-1.4,
2012-10,-8.2,
2013-01,-6.1,
2013-04,-5.9,
2013-07,-0.3,
2013-10,-2.9,
2014-01,-0.1,
2014-04,1.4,
2014-07,6.1,
