"",BBFB1.Q.N.DE.FI.S1.S1.T.B.IN2._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.FI.S1.S1.T.B.IN2._Z._Z._Z._T._X.N_FLAGS
"",Current account / Secondary income / Balance / Finland,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:28:11,
1991-01,-4.366,
1991-04,-6.842,
1991-07,-3.814,
1991-10,-1.928,
1992-01,-5.146,
1992-04,-3.879,
1992-07,-4.387,
1992-10,-1.056,
1993-01,-4.386,
1993-04,-1.178,
1993-07,-2.733,
1993-10,-3.186,
1994-01,-3.939,
1994-04,-2.761,
1994-07,-4.480,
1994-10,-1.831,
1995-01,-3.284,
1995-04,-3.244,
1995-07,-2.075,
1995-10,-0.692,
1996-01,-2.009,
1996-04,-2.563,
1996-07,-3.287,
1996-10,-1.708,
1997-01,-1.461,
1997-04,-3.662,
1997-07,-0.676,
1997-10,2.970,
1998-01,-8.021,
1998-04,4.108,
1998-07,-1.450,
1998-10,3.453,
1999-01,3.138,
1999-04,-2.158,
1999-07,-0.763,
1999-10,0.499,
2000-01,-0.079,
2000-04,-12.775,
2000-07,-1.434,
2000-10,-1.157,
2001-01,-6.145,
2001-04,-19.768,
2001-07,-3.751,
2001-10,-4.819,
2002-01,-0.580,
2002-04,-22.970,
2002-07,-3.179,
2002-10,-3.488,
2003-01,-2.601,
2003-04,-16.503,
2003-07,1.686,
2003-10,1.736,
2004-01,5.872,
2004-04,-13.828,
2004-07,8.204,
2004-10,1.791,
2005-01,-3.170,
2005-04,-23.553,
2005-07,-0.944,
2005-10,-3.061,
2006-01,-17.973,
2006-04,-24.539,
2006-07,-4.134,
2006-10,-9.299,
2007-01,-8.731,
2007-04,-28.998,
2007-07,20.810,
2007-10,-5.755,
2008-01,-1.428,
2008-04,-18.301,
2008-07,-40.288,
2008-10,-0.977,
2009-01,-9.062,
2009-04,-24.092,
2009-07,-19.821,
2009-10,-16.258,
2010-01,-20.429,
2010-04,-19.959,
2010-07,-18.381,
2010-10,-13.122,
2011-01,-4.778,
2011-04,-11.011,
2011-07,-2.990,
2011-10,-7.880,
2012-01,-7.007,
2012-04,-6.340,
2012-07,2.180,
2012-10,0.036,
2013-01,-35.734,
2013-04,-2.358,
2013-07,-5.637,
2013-10,-20.888,
2014-01,-7.231,Provisional value
2014-04,-63.851,Provisional value
2014-07,-72.798,Provisional value
