"",BBK01.OEHB01H,BBK01.OEHB01H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:26:09,
2002-01,94.050,
2002-04,94.424,
2002-07,94.789,
2002-10,95.277,
2003-01,95.135,
2003-04,95.376,
2003-07,96.044,
2003-10,95.938,
2004-01,95.488,
2004-04,95.721,
2004-07,95.553,
2004-10,95.174,
2005-01,94.766,
2005-04,94.768,
2005-07,94.963,
2005-10,95.025,
2006-01,94.905,
2006-04,95.144,
2006-07,95.179,
2006-10,94.838,
2007-01,94.286,
2007-04,94.319,
2007-07,94.274,
2007-10,94.396,
2008-01,94.169,
2008-04,94.432,
2008-07,95.114,
2008-10,95.843,
2009-01,95.953,
2009-04,96.319,
2009-07,97.199,
2009-10,98.055,
2010-01,99.091,
2010-04,100.520,
2010-07,101.615,
2010-10,102.233,
2011-01,102.960,
2011-04,103.763,
2011-07,104.605,
2011-10,105.228,
2012-01,106.072,
2012-04,107.149,
2012-07,108.581,
2012-10,109.808,
2013-01,110.719,
2013-04,111.480,
2013-07,112.449,
2013-10,112.764,
2014-01,113.199,
2014-04,113.929,
2014-07,115.032,
