"",BBK01.OEAM02T,BBK01.OEAM02T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:38:21,
2002-01,0.481,
2002-04,0.457,
2002-07,0.503,
2002-10,0.648,
2003-01,0.541,
2003-04,0.461,
2003-07,0.476,
2003-10,0.539,
2004-01,0.562,
2004-04,0.547,
2004-07,0.547,
2004-10,0.721,
2005-01,0.840,
2005-04,0.805,
2005-07,0.800,
2005-10,0.848,
2006-01,0.761,
2006-04,0.921,
2006-07,0.693,
2006-10,0.869,
2007-01,0.745,
2007-04,0.736,
2007-07,0.779,
2007-10,0.818,
2008-01,0.790,
2008-04,0.682,
2008-07,0.658,
2008-10,0.930,
2009-01,0.986,
2009-04,1.036,
2009-07,1.012,
2009-10,1.036,
2010-01,0.828,
2010-04,1.009,
2010-07,0.904,
2010-10,1.184,
2011-01,0.876,
2011-04,0.862,
2011-07,1.255,
2011-10,1.119,
2012-01,0.699,
2012-04,0.613,
2012-07,0.660,
2012-10,0.819,
2013-01,0.664,
2013-04,0.753,
2013-07,0.663,
2013-10,0.765,
2014-01,0.687,
2014-04,0.757,
2014-07,0.686,
