"",BBSF2.M.1.P.00000.REN01.I.F.WPS.Z5.00000.000000.Z01.00,BBSF2.M.1.P.00000.REN01.I.F.WPS.Z5.00000.000000.Z01.00_FLAGS
"",Public funds / Bonds funds / Securities total,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:40:29,
1993-01,.,No value available
1993-02,.,No value available
1993-03,.,No value available
1993-04,43441,
1993-05,43774,
1993-06,44248,
1993-07,43397,
1993-08,43361,
1993-09,42933,
1993-10,44528,
1993-11,43532,
1993-12,44619,
1994-01,45571,
1994-02,45823,
1994-03,44569,
1994-04,44996,
1994-05,44484,
1994-06,43441,
1994-07,43709,
1994-08,43561,
1994-09,43979,
1994-10,43754,
1994-11,44276,
1994-12,43382,
1995-01,42678,
1995-02,42111,
1995-03,42021,
1995-04,43000,
1995-05,44745,
1995-06,44414,
1995-07,44917,
1995-08,46442,
1995-09,46819,
1995-10,47105,
1995-11,47470,
1995-12,48486,
1996-01,49711,
1996-02,48568,
1996-03,49337,
1996-04,51249,
1996-05,51395,
1996-06,51294,
1996-07,50805,
1996-08,51912,
1996-09,52991,
1996-10,53463,
1996-11,53610,
1996-12,53828,
1997-01,54877,
1997-02,55975,
1997-03,55396,
1997-04,56693,
1997-05,56793,
1997-06,58526,
1997-07,59612,
1997-08,58320,
1997-09,59094,
1997-10,58452,
1997-11,57613,
1997-12,58846,
1998-01,59688,
1998-02,60289,
1998-03,61127,
1998-04,61050,
1998-05,60987,
1998-06,61776,
1998-07,61403,
1998-08,60933,
1998-09,59453,
1998-10,58782,
1998-11,59488,
1998-12,59587,
1999-01,61902,
1999-02,62272,
1999-03,63877,
1999-04,65066,
1999-05,65116,
1999-06,64126,
1999-07,63436,
1999-08,63391,
1999-09,63288,
1999-10,62925,
1999-11,62750,
1999-12,62633,
2000-01,61204,
2000-02,60274,
2000-03,60881,
2000-04,60888,
2000-05,58922,
2000-06,59000,
2000-07,59327,
2000-08,59278,
2000-09,58295,
2000-10,58038,
2000-11,57232,
2000-12,56191,
2001-01,56084,
2001-02,56197,
2001-03,56723,
2001-04,56353,
2001-05,56881,
2001-06,57227,
2001-07,57312,
2001-08,56467,
2001-09,57154,
2001-10,59180,
2001-11,59310,
2001-12,58741,
2002-01,59903,
2002-02,60845,
2002-03,60411,
2002-04,60767,
2002-05,60349,
2002-06,60085,
2002-07,60759,
2002-08,62124,
2002-09,62357,
2002-10,61291,
2002-11,61279,
2002-12,61994,
2003-01,62310,
2003-02,62938,
2003-03,61982,
2003-04,63070,
2003-05,64290,
2003-06,64986,
2003-07,64915,
2003-08,65420,
2003-09,65225,
2003-10,64658,
2003-11,63529,
2003-12,64136,
2004-01,63950,
2004-02,64751,
2004-03,67385,
2004-04,65939,
2004-05,66022,
2004-06,66152,
2004-07,66037,
2004-08,66758,
2004-09,66407,
2004-10,66049,
2004-11,66021,
2004-12,66511,
2005-01,68072,
2005-02,67036,
2005-03,68152,
2005-04,70256,
2005-05,71809,
2005-06,72386,
2005-07,72699,
2005-08,73635,
2005-09,74595,
2005-10,73432,
2005-11,72690,
2005-12,73228,
2006-01,72827,
2006-02,72805,
2006-03,71173,
2006-04,70594,
2006-05,71433,
2006-06,70294,
2006-07,70621,
2006-08,70123,
2006-09,70092,
2006-10,69548,
2006-11,68766,
2006-12,67910,
2007-01,66914,
2007-02,66396,
2007-03,65763,
2007-04,64394,
2007-05,63559,
2007-06,60753,
2007-07,60892,
2007-08,59432,
2007-09,58240,
2007-10,57329,
2007-11,57137,
2007-12,55448,
2008-01,55143,
2008-02,54170,
2008-03,52626,
2008-04,52982,
2008-05,52776,
2008-06,51309,
2008-07,50464,
2008-08,50080,
2008-09,48661,
2008-10,44905,
2008-11,44311,
2008-12,43270,
2009-01,44616,
2009-02,44901,
2009-03,45127,
2009-04,47131,
2009-05,47585,
2009-06,48499,
2009-07,50479,
2009-08,50373,
2009-09,51986,
2009-10,51920,
2009-11,52983,
2009-12,52538,
2010-01,52805,
2010-02,53243,
2010-03,54492,
2010-04,54428,
2010-05,55466,
2010-06,55777,
2010-07,56186,
2010-08,56947,
2010-09,57009,
2010-10,55752,
2010-11,53885,
2010-12,53749,
2011-01,53202,
2011-02,52948,
2011-03,51532,
2011-04,50912,
2011-05,51069,
2011-06,50743,
2011-07,52059,
2011-08,51832,
2011-09,51909,
2011-10,51209,
2011-11,49893,
2011-12,50509,
2012-01,51600,
2012-02,52396,
2012-03,52073,
2012-04,52356,
2012-05,53138,
2012-06,52754,
2012-07,54181,
2012-08,54416,
2012-09,54721,
2012-10,54835,
2012-11,55412,
2012-12,55748,
2013-01,55522,
2013-02,56848,
2013-03,57339,
2013-04,57980,
2013-05,57602,
2013-06,55473,
2013-07,56533,
2013-08,55766,
2013-09,56037,
2013-10,55778,
2013-11,54925,
2013-12,54525,
2014-01,55003,
2014-02,55863,
2014-03,55783,
2014-04,56325,
2014-05,56866,
2014-06,57096,
2014-07,57438,
2014-08,58352,
2014-09,58983,
2014-10,59962,
2014-11,61383,
