"",BBK01.CEF50L,BBK01.CEF50L_FLAGS
"",Equity and investment fund shares or units  debtor: Total           creditor: Pension funds,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:36:57,
1999-01,4.6,
1999-04,4.8,
1999-07,4.9,
1999-10,5.5,
2000-01,6.0,
2000-04,6.0,
2000-07,6.2,
2000-10,4.5,
2001-01,4.6,
2001-04,4.7,
2001-07,4.6,
2001-10,4.0,
2002-01,4.5,
2002-04,4.2,
2002-07,3.5,
2002-10,2.7,
2003-01,2.5,
2003-04,2.8,
2003-07,2.9,
2003-10,3.6,
2004-01,9.2,
2004-04,16.6,
2004-07,19.5,
2004-10,19.5,
2005-01,21.3,
2005-04,24.8,
2005-07,33.0,
2005-10,77.5,
2006-01,81.8,
2006-04,81.6,
2006-07,91.2,
2006-10,94.6,
2007-01,99.3,
2007-04,103.6,
2007-07,103.3,
2007-10,102.8,
2008-01,100.1,
2008-04,98.4,
2008-07,95.5,
2008-10,104.0,
2009-01,106.0,
2009-04,110.7,
2009-07,116.4,
2009-10,127.8,
2010-01,133.4,
2010-04,135.0,
2010-07,143.6,
2010-10,149.4,
2011-01,155.0,
2011-04,157.7,
2011-07,153.2,
2011-10,162.1,
2012-01,175.4,
2012-04,184.2,
2012-07,196.6,
2012-10,214.8,
2013-01,204.6,
2013-04,204.8,
2013-07,213.5,
2013-10,218.4,
2014-01,227.2,
2014-04,237.8,
2014-07,244.5,
