"",BBK01.OEYK01H,BBK01.OEYK01H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:11:43,
2002-01,0.090,
2002-04,0.110,
2002-07,0.094,
2002-10,0.194,
2003-01,0.187,
2003-04,0.163,
2003-07,0.447,
2003-10,0.340,
2004-01,0.355,
2004-04,0.287,
2004-07,0.365,
2004-10,0.278,
2005-01,0.351,
2005-04,0.390,
2005-07,0.309,
2005-10,0.319,
2006-01,0.421,
2006-04,0.301,
2006-07,0.471,
2006-10,0.479,
2007-01,0.376,
2007-04,0.377,
2007-07,0.362,
2007-10,0.360,
2008-01,0.347,
2008-04,0.261,
2008-07,0.220,
2008-10,0.190,
2009-01,0.149,
2009-04,0.186,
2009-07,0.183,
2009-10,0.169,
2010-01,0.260,
2010-04,0.204,
2010-07,0.205,
2010-10,0.219,
2011-01,0.165,
2011-04,0.155,
2011-07,0.204,
2011-10,0.175,
2012-01,0.205,
2012-04,0.207,
2012-07,0.204,
2012-10,0.116,
2013-01,0.117,
2013-04,0.125,
2013-07,0.115,
2013-10,0.130,
2014-01,0.125,
2014-04,0.137,
2014-07,0.092,
