"",BBK01.OEAA54I,BBK01.OEAA54I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:16:27,
2002-01,1.056,
2002-04,1.122,
2002-07,1.112,
2002-10,0.889,
2003-01,0.870,
2003-04,0.710,
2003-07,0.619,
2003-10,0.522,
2004-01,0.529,
2004-04,0.356,
2004-07,0.336,
2004-10,0.352,
2005-01,0.310,
2005-04,0.269,
2005-07,0.233,
2005-10,0.233,
2006-01,0.238,
2006-04,0.437,
2006-07,0.434,
2006-10,0.325,
2007-01,0.323,
2007-04,0.392,
2007-07,0.505,
2007-10,0.949,
2008-01,1.296,
2008-04,1.885,
2008-07,2.218,
2008-10,2.270,
2009-01,2.381,
2009-04,2.608,
2009-07,2.943,
2009-10,3.412,
2010-01,3.394,
2010-04,3.412,
2010-07,3.524,
2010-10,3.723,
2011-01,3.890,
2011-04,4.098,
2011-07,4.210,
2011-10,4.905,
2012-01,4.902,
2012-04,4.294,
2012-07,3.789,
2012-10,3.355,
2013-01,3.135,
2013-04,2.991,
2013-07,3.008,
2013-10,2.841,
2014-01,3.128,
2014-04,2.986,
2014-07,3.118,
