"",BBK01.OEAK01Q,BBK01.OEAK01Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:07:08,
2002-01,3.385,
2002-04,3.307,
2002-07,3.262,
2002-10,3.405,
2003-01,3.244,
2003-04,3.249,
2003-07,3.538,
2003-10,3.673,
2004-01,3.476,
2004-04,3.147,
2004-07,3.201,
2004-10,3.411,
2005-01,3.406,
2005-04,3.337,
2005-07,3.454,
2005-10,3.703,
2006-01,3.512,
2006-04,3.704,
2006-07,3.837,
2006-10,4.254,
2007-01,4.269,
2007-04,4.671,
2007-07,4.761,
2007-10,5.140,
2008-01,4.968,
2008-04,4.993,
2008-07,5.242,
2008-10,5.542,
2009-01,4.970,
2009-04,4.852,
2009-07,4.804,
2009-10,4.893,
2010-01,4.816,
2010-04,4.942,
2010-07,5.034,
2010-10,5.250,
2011-01,5.062,
2011-04,5.152,
2011-07,5.361,
2011-10,5.562,
2012-01,5.399,
2012-04,5.376,
2012-07,5.640,
2012-10,5.801,
2013-01,5.631,
2013-04,5.787,
2013-07,6.056,
2013-10,6.416,
2014-01,6.282,
2014-04,6.312,
2014-07,6.532,
