"",BBK01.OELL07S,BBK01.OELL07S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:18:23,
2002-01,1.767,
2002-04,1.746,
2002-07,1.770,
2002-10,1.854,
2003-01,1.888,
2003-04,1.865,
2003-07,1.870,
2003-10,1.912,
2004-01,1.934,
2004-04,1.918,
2004-07,1.907,
2004-10,1.907,
2005-01,1.879,
2005-04,1.853,
2005-07,1.843,
2005-10,1.869,
2006-01,1.870,
2006-04,1.825,
2006-07,1.810,
2006-10,1.818,
2007-01,1.776,
2007-04,1.739,
2007-07,1.726,
2007-10,1.745,
2008-01,1.730,
2008-04,1.689,
2008-07,1.667,
2008-10,1.696,
2009-01,1.714,
2009-04,1.710,
2009-07,1.744,
2009-10,1.782,
2010-01,1.780,
2010-04,1.779,
2010-07,1.785,
2010-10,1.819,
2011-01,1.820,
2011-04,1.806,
2011-07,1.802,
2011-10,1.826,
2012-01,1.819,
2012-04,1.808,
2012-07,1.809,
2012-10,1.842,
2013-01,1.850,
2013-04,1.845,
2013-07,1.845,
2013-10,1.867,
2014-01,1.875,
2014-04,1.868,
2014-07,1.858,
