"",BBK01.OEHB13M,BBK01.OEHB13M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:32:00,
2002-01,17.308,
2002-04,17.295,
2002-07,17.314,
2002-10,17.353,
2003-01,17.610,
2003-04,17.647,
2003-07,17.651,
2003-10,17.480,
2004-01,17.309,
2004-04,17.294,
2004-07,17.254,
2004-10,17.138,
2005-01,16.751,
2005-04,16.758,
2005-07,16.748,
2005-10,16.662,
2006-01,16.569,
2006-04,16.545,
2006-07,16.484,
2006-10,16.333,
2007-01,16.203,
2007-04,16.194,
2007-07,16.102,
2007-10,16.090,
2008-01,16.053,
2008-04,16.069,
2008-07,16.024,
2008-10,15.980,
2009-01,15.907,
2009-04,15.919,
2009-07,15.817,
2009-10,15.843,
2010-01,15.748,
2010-04,15.940,
2010-07,15.918,
2010-10,15.830,
2011-01,15.748,
2011-04,15.834,
2011-07,15.812,
2011-10,15.790,
2012-01,15.787,
2012-04,15.819,
2012-07,15.914,
2012-10,15.961,
2013-01,15.958,
2013-04,16.113,
2013-07,16.237,
2013-10,16.155,
2014-01,16.158,
2014-04,16.257,
2014-07,16.266,
