"",BBEX3.M.HNL.EUR.CA.AC.A01,BBEX3.M.HNL.EUR.CA.AC.A01_FLAGS
"",Exchange rates (comparable rates) for the euro in Honduras * / EUR 1 = HNL ... (middle),
unit,HNL (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:17:47,
1999-01,15.90560,
1999-02,15.45225,
1999-03,15.14370,
1999-04,14.99650,
1999-05,14.88875,
1999-06,14.76805,
1999-07,15.34535,
1999-08,15.24800,
1999-09,15.43935,
1999-10,15.16995,
1999-11,14.71645,
1999-12,14.67990,
2000-01,14.80480,comment
2000-02,14.31330,
2000-03,14.11445,
2000-04,13.44430,
2000-05,13.86230,
2000-06,14.26330,
2000-07,13.85080,
2000-08,13.40680,
2000-09,13.25880,
2000-10,12.57915,
2000-11,13.22175,
2000-12,14.18435,
2001-01,14.21260,
2001-02,14.18790,
2001-03,13.59855,
2001-04,13.71120,
2001-05,13.14620,
2001-06,13.19805,
2001-07,13.67485,
2001-08,14.34580,
2001-09,14.39155,
2001-10,14.35960,
2001-11,14.21000,
2001-12,14.13525,
2002-01,13.94675,
2002-02,14.04070,
2002-03,14.23115,
2002-04,14.76195,
2002-05,15.45385,
2002-06,16.50970,
2002-07,16.26330,
2002-08,16.42665,
2002-09,16.56300,
2002-10,16.67385,
2002-11,16.84295,
2002-12,17.88055,
2003-01,18.52210,
2003-02,18.53485,
2003-03,18.77300,
2003-04,19.25700,
2003-05,20.50865,
2003-06,19.92515,
2003-07,19.82270,
2003-08,19.21170,
2003-09,20.56875,
2003-10,20.61160,
2003-11,21.33875,
2003-12,22.56645,
2004-01,22.19695,
2004-02,22.32980,
2004-03,22.08970,
2004-04,21.70515,
2004-05,22.25005,
2004-06,22.25140,
2004-07,22.13065,
2004-08,22.36715,
2004-09,23.01130,
2004-10,23.71305,
2004-11,24.82175,
2004-12,25.56660,
2005-01,24.52540,
2005-02,25.00935,
2005-03,24.49550,
2005-04,24.58590,
2005-05,23.33645,
2005-06,22.89015,
2005-07,22.89810,
2005-08,23.09690,
2005-09,22.82560,
2005-10,22.80165,
2005-11,22.31990,
2005-12,22.37300,
2006-01,22.98180,
2006-02,22.52095,
2006-03,22.95525,
2006-04,23.77640,
2006-05,24.40415,
2006-06,24.11020,
2006-07,24.21260,
2006-08,24.37195,
2006-09,24.11020,
2006-10,24.07795,
2006-11,25.03380,
2006-12,24.97690,
2007-01,24.56730,
2007-02,25.05465,
2007-03,25.25760,
2007-04,25.80190,
2007-05,25.51365,
2007-06,25.61225,
2007-07,25.99530,
2007-08,25.99155,
2007-09,26.89045,
2007-10,27.39870,
2007-11,27.99425,
2007-12,27.91840,
2008-01,28.20095,
2008-02,28.76420,
2008-03,29.98745,
2008-04,29.61150,
2008-05,29.44190,
2008-06,29.89645,
2008-07,29.60625,
2008-08,27.94495,
2008-09,27.12565,
2008-10,24.18890,
2008-11,24.13165,
2008-12,26.38835,
2009-01,24.30070,
2009-02,23.97460,
2009-03,25.23365,
2009-04,25.17105,
2009-05,26.73155,
2009-06,26.79960,
2009-07,26.80740,
2009-08,27.06145,
2009-09,27.76495,
2009-10,28.06250,
2009-11,28.48535,
2009-12,27.31560,
2010-01,26.48105,
2010-02,25.73035,
2010-03,25.55790,
2010-04,25.24680,
2010-05,23.33555,
2010-06,23.26730,
2010-07,24.70255,
2010-08,24.04230,
2010-09,25.87815,
2010-10,26.27100,
2010-11,24.63485,
2010-12,25.33595,
2011-01,25.96085,
2011-02,26.23095,
2011-03,26.93820,
2011-04,28.17640,
2011-05,27.27545,
2011-06,27.40465,
2011-07,26.87790,
2011-08,27.38570,
2011-09,25.69325,
2011-10,26.72095,
2011-11,25.54230,
2011-12,24.73315,
2012-01,25.28185,
2012-02,25.89985,
2012-03,25.83745,
2012-04,25.64020,
2012-05,24.16640,
2012-06,24.62685,
2012-07,24.12810,
2012-08,24.87720,
2012-09,25.60255,
2012-10,25.82345,
2012-11,25.91600,
2012-12,26.43045,
2013-01,27.25015,
2013-02,26.49940,
2013-03,25.93145,
2013-04,26.57120,
2013-05,26.54650,
2013-06,26.79800,
2013-07,27.25960,
2013-08,27.19240,
2013-09,27.84055,
2013-10,28.11650,
2013-11,28.11690,
2013-12,28.50545,
2014-01,28.00255,
2014-02,28.67840,
2014-03,28.71170,
2014-04,28.91460,
2014-05,28.48375,
2014-06,28.74380,
2014-07,28.16700,
2014-08,27.93085,
2014-09,26.81580,
2014-10,26.77540,
2014-11,26.83755,
2014-12,26.20960,
2015-01,24.62875,
"","Source: Since March 2003: Banco Central de Honduras, Tegucigalpa 1999 - February 2003: Dresdner Bank Lateinamerika AG, Hamburg.",
"",Methodology: * We do not have any data from Honduras on euro exchange rates; the comparable rates were calculated on the basis of the buying and selling rates for the US dollar in Honduras in conjunction with the respective euro reference exchange rate of the European Central Bank for the US dollar.,
"",Comment on 2000-01: Calculated using the US dollar exchange rates on 21 January 2000.,
